date,dealer_code,part_code,transaction_type,quantity,reference,stock_after
2025-07-13,DL005,SPARK-PLUG-NGK,RECEIPT,3,PO-DL005-20250713-437,4
2025-07-13,DL001,BR-PAD-F-MG,RECEIPT,4,PO-DL001-20250713-183,5
2025-07-13,DL007,SPARK-PLUG-NGK,RECEIPT,3,PO-DL007-20250713-440,4
2025-07-13,DL005,CABIN-FILTER-MG,ISSUE,1,JO-DL005-20250713-7575,4
2025-07-13,DL008,OIL-FILTER-MG,ISSUE,1,JO-DL008-20250713-2953,14
2025-07-13,DL002,OIL-5W30-4L,ISSUE,1,JO-DL002-20250713-6395,8
2025-07-14,DL001,TYRE-225-55-18,ISSUE,1,JO-DL001-20250714-2795,1
2025-07-14,DL001,BR-PAD-F-MG,ISSUE,1,JO-DL001-20250714-8699,4
2025-07-14,DL001,OIL-5W30-4L,ISSUE,1,JO-DL001-20250714-1434,5
2025-07-14,DL002,BATT-12V-70AH,ISSUE,1,JO-DL002-20250714-1381,2
2025-07-14,DL008,TYRE-225-55-18,ISSUE,1,JO-DL008-20250714-3911,3
2025-07-15,DL008,BR-FLUID-DOT4,ISSUE,1,JO-DL008-20250715-3225,3
2025-07-15,DL001,TYRE-215-60-17,ISSUE,1,JO-DL001-20250715-7825,2
2025-07-15,DL001,TYRE-215-60-17,RECEIPT,4,PO-DL001-20250715-956,4
2025-07-15,DL001,OBD-HARNESS-MG,RECEIPT,2,PO-DL001-20250715-321,2
2025-07-15,DL007,TYRE-225-55-18,RECEIPT,3,PO-DL007-20250715-351,4
2025-07-15,DL006,OBD-HARNESS-MG,RECEIPT,2,PO-DL006-20250715-108,2
2025-07-15,DL006,TYRE-215-60-17,RECEIPT,4,PO-DL006-20250715-758,4
2025-07-15,DL002,OBD-HARNESS-MG,RECEIPT,2,PO-DL002-20250715-728,3
2025-07-15,DL002,OIL-5W30-4L,ISSUE,1,JO-DL002-20250715-9869,7
2025-07-15,DL005,AIR-FILTER-MG,ISSUE,1,JO-DL005-20250715-9388,3
2025-07-15,DL002,OIL-FILTER-MG,ISSUE,1,JO-DL002-20250715-8629,20
2025-07-15,DL004,OBD-HARNESS-MG,RECEIPT,2,PO-DL004-20250715-606,2
2025-07-15,DL004,TYRE-215-60-17,RECEIPT,4,PO-DL004-20250715-627,5
2025-07-15,DL004,OIL-5W30-4L,ISSUE,1,JO-DL004-20250715-6847,13
2025-07-15,DL003,OBD-HARNESS-MG,RECEIPT,2,PO-DL003-20250715-150,3
2025-07-15,DL003,AIR-FILTER-MG,ISSUE,1,JO-DL003-20250715-7358,8
2025-07-15,DL007,OBD-HARNESS-MG,RECEIPT,2,PO-DL007-20250715-783,2
2025-07-15,DL005,OBD-HARNESS-MG,RECEIPT,2,PO-DL005-20250715-883,2
2025-07-15,DL003,OIL-5W30-4L,ISSUE,1,JO-DL003-20250715-3690,2
2025-07-15,DL008,OBD-HARNESS-MG,RECEIPT,2,PO-DL008-20250715-313,2
2025-07-15,DL008,TYRE-215-60-17,RECEIPT,3,PO-DL008-20250715-593,3
2025-07-15,DL008,TYRE-225-55-18,RECEIPT,3,PO-DL008-20250715-994,4
2025-07-16,DL003,HV-MODULE-MG,ISSUE,1,JO-DL003-20250716-3160,1
2025-07-16,DL006,TYRE-225-55-18,ISSUE,1,JO-DL006-20250716-1176,1
2025-07-16,DL002,TYRE-215-60-17,ISSUE,1,JO-DL002-20250716-6504,2
2025-07-16,DL008,OIL-5W30-4L,ISSUE,1,JO-DL008-20250716-6739,11
2025-07-16,DL008,BR-FLUID-DOT4,ISSUE,1,JO-DL008-20250716-4661,2
2025-07-16,DL005,SPARK-PLUG-NGK,ISSUE,1,JO-DL005-20250716-2575,3
2025-07-16,DL006,CABIN-FILTER-MG,ISSUE,1,JO-DL006-20250716-3559,1
2025-07-17,DL008,WIPER-BLADE-MG,ISSUE,1,JO-DL008-20250717-2176,3
2025-07-17,DL002,OIL-5W30-4L,ISSUE,1,JO-DL002-20250717-9582,6
2025-07-17,DL006,TYRE-215-60-17,ISSUE,1,JO-DL006-20250717-5299,3
2025-07-17,DL004,WIPER-BLADE-MG,ISSUE,1,JO-DL004-20250717-8492,4
2025-07-17,DL005,OIL-5W30-4L,ISSUE,1,JO-DL005-20250717-4825,8
2025-07-17,DL001,AIR-FILTER-MG,ISSUE,1,JO-DL001-20250717-3831,6
2025-07-17,DL004,HV-MODULE-MG,ISSUE,1,JO-DL004-20250717-3159,1
2025-07-17,DL008,BMS-FUSE-MG,ISSUE,1,JO-DL008-20250717-5963,2
2025-07-18,DL005,BATT-12V-60AH,ISSUE,1,JO-DL005-20250718-8287,2
2025-07-18,DL006,BATT-12V-70AH,ISSUE,1,JO-DL006-20250718-1260,2
2025-07-18,DL002,COOLANT-1L,ISSUE,1,JO-DL002-20250718-2106,7
2025-07-18,DL005,THERMOSTAT-MG,RECEIPT,2,PO-DL005-20250718-204,2
2025-07-18,DL002,BATT-12V-60AH,ISSUE,1,JO-DL002-20250718-8760,2
2025-07-18,DL006,WIPER-BLADE-MG,ISSUE,1,JO-DL006-20250718-6310,9
2025-07-18,DL002,OBD-HARNESS-MG,ISSUE,1,JO-DL002-20250718-9384,1
2025-07-18,DL002,THERMOSTAT-MG,RECEIPT,3,PO-DL002-20250718-813,4
2025-07-18,DL004,OBD-HARNESS-MG,ISSUE,1,JO-DL004-20250718-6518,1
2025-07-18,DL008,THERMOSTAT-MG,RECEIPT,2,PO-DL008-20250718-259,2
2025-07-18,DL003,THERMOSTAT-MG,RECEIPT,3,PO-DL003-20250718-356,3
2025-07-19,DL007,TYRE-215-60-17,RECEIPT,4,PO-DL007-20250719-450,5
2025-07-19,DL005,BR-FLUID-DOT4,ISSUE,1,JO-DL005-20250719-7961,6
2025-07-19,DL006,BR-PAD-R-MG,ISSUE,1,JO-DL006-20250719-4661,3
2025-07-19,DL008,BR-PAD-R-MG,ISSUE,1,JO-DL008-20250719-4339,3
2025-07-19,DL003,TYRE-225-55-18,ISSUE,1,JO-DL003-20250719-6942,2
2025-07-19,DL006,BATT-12V-60AH,ISSUE,1,JO-DL006-20250719-6074,2
2025-07-19,DL006,CABIN-FILTER-MG,RECEIPT,8,PO-DL006-20250719-251,9
2025-07-19,DL008,BMS-FUSE-MG,ISSUE,1,JO-DL008-20250719-9568,1
2025-07-19,DL002,BATT-12V-70AH,ISSUE,1,JO-DL002-20250719-7258,1
2025-07-19,DL003,BR-FLUID-DOT4,ISSUE,1,JO-DL003-20250719-1498,4
2025-07-19,DL004,TYRE-225-55-18,ISSUE,1,JO-DL004-20250719-8404,1
2025-07-20,DL007,BATT-12V-70AH,ISSUE,1,JO-DL007-20250720-1102,1
2025-07-20,DL007,BR-PAD-R-MG,ISSUE,1,JO-DL007-20250720-6446,2
2025-07-20,DL004,TYRE-215-60-17,ISSUE,1,JO-DL004-20250720-5327,4
2025-07-20,DL004,COOLANT-1L,ISSUE,1,JO-DL004-20250720-6896,13
2025-07-20,DL007,SPARK-PLUG-NGK,ISSUE,1,JO-DL007-20250720-2102,3
2025-07-21,DL003,OIL-FILTER-MG,ISSUE,1,JO-DL003-20250721-3607,15
2025-07-21,DL003,TYRE-215-60-17,ISSUE,1,JO-DL003-20250721-7909,2
2025-07-21,DL001,BATT-12V-60AH,ISSUE,1,JO-DL001-20250721-2922,2
2025-07-21,DL003,CABIN-FILTER-MG,ISSUE,1,JO-DL003-20250721-7021,4
2025-07-21,DL005,OIL-FILTER-MG,ISSUE,1,JO-DL005-20250721-3953,10
2025-07-21,DL002,TYRE-215-60-17,ISSUE,1,JO-DL002-20250721-8143,1
2025-07-21,DL001,OIL-FILTER-MG,ISSUE,1,JO-DL001-20250721-9308,27
2025-07-21,DL008,SPARK-PLUG-NGK,ISSUE,1,JO-DL008-20250721-8162,2
2025-07-21,DL001,TYRE-225-55-18,RECEIPT,3,PO-DL001-20250721-526,4
2025-07-21,DL004,OBD-HARNESS-MG,ISSUE,1,JO-DL004-20250721-9972,2
2025-07-21,DL002,BATT-12V-70AH,ISSUE,1,JO-DL002-20250721-9876,2
2025-07-22,DL001,THERMOSTAT-MG,RECEIPT,2,PO-DL001-20250722-984,3
2025-07-22,DL005,BR-PAD-R-MG,ISSUE,1,JO-DL005-20250722-8209,1
2025-07-22,DL003,OIL-5W30-4L,ISSUE,1,JO-DL003-20250722-2755,1
2025-07-22,DL006,BMS-FUSE-MG,RECEIPT,2,PO-DL006-20250722-695,3
2025-07-22,DL002,BMS-FUSE-MG,RECEIPT,2,PO-DL002-20250722-467,3
2025-07-22,DL001,TYRE-225-55-18,ISSUE,1,JO-DL001-20250722-4728,3
2025-07-22,DL002,BATT-12V-70AH,RECEIPT,2,PO-DL002-20250722-363,3
2025-07-22,DL007,BMS-FUSE-MG,ISSUE,1,JO-DL007-20250722-9330,1
2025-07-23,DL007,OIL-FILTER-MG,ISSUE,1,JO-DL007-20250723-1661,8
2025-07-23,DL007,COOLANT-1L,ISSUE,1,JO-DL007-20250723-8604,3
2025-07-23,DL002,TYRE-225-55-18,ISSUE,1,JO-DL002-20250723-4766,2
2025-07-23,DL004,BR-FLUID-DOT4,ISSUE,1,JO-DL004-20250723-8068,7
2025-07-23,DL007,BATT-12V-70AH,RECEIPT,2,PO-DL007-20250723-742,3
2025-07-23,DL001,WIPER-BLADE-MG,ISSUE,1,JO-DL001-20250723-9762,5
2025-07-23,DL003,BATT-12V-60AH,ISSUE,1,JO-DL003-20250723-3465,1
2025-07-23,DL002,OIL-FILTER-MG,ISSUE,1,JO-DL002-20250723-8625,19
2025-07-23,DL004,AIR-FILTER-MG,ISSUE,1,JO-DL004-20250723-3490,8
2025-07-23,DL006,BR-PAD-R-MG,ISSUE,1,JO-DL006-20250723-6034,2
2025-07-23,DL005,BMS-FUSE-MG,RECEIPT,2,PO-DL005-20250723-667,3
2025-07-23,DL006,TYRE-225-55-18,RECEIPT,3,PO-DL006-20250723-573,4
2025-07-24,DL001,WIPER-BLADE-MG,ISSUE,1,JO-DL001-20250724-2036,4
2025-07-24,DL003,OIL-5W30-4L,ISSUE,1,JO-DL003-20250724-5370,14
2025-07-24,DL003,OIL-5W30-4L,RECEIPT,14,PO-DL003-20250724-862,15
2025-07-25,DL008,OIL-5W30-4L,ISSUE,1,JO-DL008-20250725-6674,10
2025-07-25,DL007,BR-PAD-R-MG,ISSUE,1,JO-DL007-20250725-8483,1
2025-07-25,DL002,OBD-HARNESS-MG,RECEIPT,2,PO-DL002-20250725-879,3
2025-07-25,DL003,OIL-5W30-4L,ISSUE,1,JO-DL003-20250725-8416,13
2025-07-25,DL004,OBD-HARNESS-MG,RECEIPT,2,PO-DL004-20250725-407,3
2025-07-25,DL002,OIL-5W30-4L,ISSUE,1,JO-DL002-20250725-9732,5
2025-07-26,DL002,BR-PAD-F-MG,ISSUE,1,JO-DL002-20250726-6041,2
2025-07-26,DL003,BATT-12V-60AH,RECEIPT,3,PO-DL003-20250726-365,4
2025-07-26,DL008,BMS-FUSE-MG,RECEIPT,2,PO-DL008-20250726-116,3
2025-07-26,DL004,TYRE-225-55-18,RECEIPT,4,PO-DL004-20250726-538,5
2025-07-26,DL007,OIL-FILTER-MG,ISSUE,1,JO-DL007-20250726-4045,7
2025-07-26,DL001,OIL-5W30-4L,ISSUE,1,JO-DL001-20250726-5552,4
2025-07-26,DL004,OIL-FILTER-MG,ISSUE,1,JO-DL004-20250726-6919,25
2025-07-27,DL005,BR-PAD-R-MG,RECEIPT,3,PO-DL005-20250727-781,4
2025-07-27,DL001,OIL-FILTER-MG,ISSUE,1,JO-DL001-20250727-7211,26
2025-07-27,DL004,BR-PAD-F-MG,ISSUE,1,JO-DL004-20250727-5399,2
2025-07-27,DL001,TYRE-215-60-17,ISSUE,1,JO-DL001-20250727-1713,1
2025-07-27,DL001,BMS-FUSE-MG,ISSUE,1,JO-DL001-20250727-3018,1
2025-07-27,DL005,BMS-FUSE-MG,ISSUE,1,JO-DL005-20250727-8828,2
2025-07-28,DL001,BATT-12V-70AH,ISSUE,1,JO-DL001-20250728-8851,1
2025-07-28,DL005,OIL-5W30-4L,ISSUE,1,JO-DL005-20250728-7877,7
2025-07-28,DL007,AIR-FILTER-MG,ISSUE,1,JO-DL007-20250728-6501,7
2025-07-28,DL008,TYRE-225-55-18,ISSUE,1,JO-DL008-20250728-2108,2
2025-07-28,DL004,OIL-5W30-4L,ISSUE,1,JO-DL004-20250728-4837,12
2025-07-28,DL002,TYRE-215-60-17,RECEIPT,4,PO-DL002-20250728-306,5
2025-07-29,DL003,HV-MODULE-MG,RECEIPT,1,PO-DL003-20250729-434,2
2025-07-29,DL006,HV-MODULE-MG,RECEIPT,1,PO-DL006-20250729-360,1
2025-07-29,DL008,HV-MODULE-MG,RECEIPT,1,PO-DL008-20250729-237,1
2025-07-29,DL004,BR-FLUID-DOT4,ISSUE,1,JO-DL004-20250729-5939,6
2025-07-29,DL004,HV-MODULE-MG,RECEIPT,1,PO-DL004-20250729-695,1
2025-07-29,DL001,HV-MODULE-MG,RECEIPT,1,PO-DL001-20250729-615,1
2025-07-29,DL004,OIL-FILTER-MG,ISSUE,1,JO-DL004-20250729-1446,24
2025-07-29,DL008,THERMOSTAT-MG,ISSUE,1,JO-DL008-20250729-2893,1
2025-07-29,DL002,HV-MODULE-MG,RECEIPT,1,PO-DL002-20250729-759,2
2025-07-29,DL007,TYRE-215-60-17,ISSUE,1,JO-DL007-20250729-4173,4
2025-07-29,DL007,HV-MODULE-MG,RECEIPT,1,PO-DL007-20250729-357,1
2025-07-29,DL005,HV-MODULE-MG,RECEIPT,1,PO-DL005-20250729-494,1
2025-07-30,DL006,HV-MODULE-MG,RECEIPT,1,PO-DL006-20250730-358,2
2025-07-30,DL006,THERMOSTAT-MG,ISSUE,1,JO-DL006-20250730-7808,1
2025-07-30,DL007,BATT-12V-70AH,ISSUE,1,JO-DL007-20250730-3292,2
2025-07-30,DL008,HV-MODULE-MG,RECEIPT,1,PO-DL008-20250730-292,2
2025-07-30,DL001,HV-MODULE-MG,RECEIPT,1,PO-DL001-20250730-271,2
2025-07-30,DL007,HV-MODULE-MG,RECEIPT,1,PO-DL007-20250730-131,2
2025-07-30,DL007,OIL-5W30-4L,ISSUE,1,JO-DL007-20250730-2937,1
2025-07-30,DL004,HV-MODULE-MG,RECEIPT,1,PO-DL004-20250730-364,2
2025-07-30,DL006,OIL-5W30-4L,ISSUE,1,JO-DL006-20250730-2318,3
2025-07-30,DL008,TYRE-225-55-18,ISSUE,1,JO-DL008-20250730-3810,1
2025-07-30,DL004,OBD-HARNESS-MG,ISSUE,1,JO-DL004-20250730-9438,1
2025-07-30,DL001,OIL-5W30-4L,ISSUE,1,JO-DL001-20250730-6635,3
2025-07-30,DL007,BR-PAD-R-MG,RECEIPT,4,PO-DL007-20250730-368,5
2025-07-30,DL002,SPARK-PLUG-NGK,ISSUE,1,JO-DL002-20250730-7131,2
2025-07-30,DL002,THERMOSTAT-MG,ISSUE,1,JO-DL002-20250730-3416,3
2025-07-30,DL005,HV-MODULE-MG,RECEIPT,1,PO-DL005-20250730-452,2
2025-07-31,DL002,OIL-FILTER-MG,ISSUE,1,JO-DL002-20250731-5227,18
2025-07-31,DL006,TYRE-225-55-18,ISSUE,1,JO-DL006-20250731-7937,3
2025-07-31,DL004,BMS-FUSE-MG,ISSUE,1,JO-DL004-20250731-9756,2
2025-07-31,DL001,BATT-12V-70AH,RECEIPT,2,PO-DL001-20250731-696,3
2025-07-31,DL006,OIL-FILTER-MG,ISSUE,1,JO-DL006-20250731-8196,27
2025-07-31,DL005,OIL-FILTER-MG,ISSUE,1,JO-DL005-20250731-8615,9
2025-07-31,DL006,BMS-FUSE-MG,ISSUE,1,JO-DL006-20250731-5245,2
2025-07-31,DL006,WIPER-BLADE-MG,ISSUE,1,JO-DL006-20250731-3601,8
2025-07-31,DL004,TYRE-225-55-18,ISSUE,1,JO-DL004-20250731-5602,4
2025-07-31,DL007,OIL-FILTER-MG,ISSUE,1,JO-DL007-20250731-7372,6
2025-08-01,DL008,BMS-FUSE-MG,ISSUE,1,JO-DL008-20250801-6837,2
2025-08-01,DL008,TYRE-225-55-18,ISSUE,1,JO-DL008-20250801-1418,3
2025-08-01,DL008,OBD-HARNESS-MG,ISSUE,1,JO-DL008-20250801-6833,1
2025-08-01,DL004,OIL-FILTER-MG,ISSUE,1,JO-DL004-20250801-4487,23
2025-08-01,DL007,OIL-5W30-4L,RECEIPT,14,PO-DL007-20250801-204,15
2025-08-01,DL002,BR-PAD-F-MG,ISSUE,1,JO-DL002-20250801-6533,1
2025-08-02,DL008,BMS-FUSE-MG,RECEIPT,2,PO-DL008-20250802-787,3
2025-08-02,DL007,CABIN-FILTER-MG,ISSUE,1,JO-DL007-20250802-3013,9
2025-08-02,DL003,TYRE-215-60-17,ISSUE,1,JO-DL003-20250802-8449,1
2025-08-02,DL001,COOLANT-1L,ISSUE,1,JO-DL001-20250802-2350,10
2025-08-02,DL007,SPARK-PLUG-NGK,ISSUE,1,JO-DL007-20250802-6056,2
2025-08-03,DL006,BR-PAD-R-MG,ISSUE,1,JO-DL006-20250803-7672,1
2025-08-03,DL001,TYRE-215-60-17,RECEIPT,4,PO-DL001-20250803-750,5
2025-08-03,DL008,AIR-FILTER-MG,ISSUE,1,JO-DL008-20250803-1025,2
2025-08-03,DL006,HV-MODULE-MG,RECEIPT,1,PO-DL006-20250803-546,2
2025-08-03,DL003,BR-PAD-R-MG,ISSUE,1,JO-DL003-20250803-2679,2
2025-08-03,DL001,TYRE-225-55-18,ISSUE,1,JO-DL001-20250803-2800,2
2025-08-03,DL006,TYRE-215-60-17,ISSUE,1,JO-DL006-20250803-7129,2
2025-08-04,DL005,BATT-12V-60AH,ISSUE,1,JO-DL005-20250804-6286,1
2025-08-04,DL005,OIL-5W30-4L,ISSUE,1,JO-DL005-20250804-2650,6
2025-08-04,DL005,COOLANT-1L,ISSUE,1,JO-DL005-20250804-3054,6
2025-08-05,DL003,OIL-FILTER-MG,ISSUE,1,JO-DL003-20250805-7292,14
2025-08-05,DL001,AIR-FILTER-MG,ISSUE,1,JO-DL001-20250805-7868,5
2025-08-05,DL001,TYRE-215-60-17,ISSUE,1,JO-DL001-20250805-6447,4
2025-08-05,DL007,BMS-FUSE-MG,RECEIPT,2,PO-DL007-20250805-190,3
2025-08-06,DL004,OBD-HARNESS-MG,RECEIPT,2,PO-DL004-20250806-383,3
2025-08-06,DL008,TYRE-225-55-18,RECEIPT,3,PO-DL008-20250806-731,4
2025-08-06,DL001,WIPER-BLADE-MG,ISSUE,1,JO-DL001-20250806-8170,3
2025-08-06,DL003,HV-MODULE-MG,RECEIPT,1,PO-DL003-20250806-608,2
2025-08-06,DL004,OIL-FILTER-MG,ISSUE,1,JO-DL004-20250806-9340,22
2025-08-06,DL008,OIL-FILTER-MG,ISSUE,1,JO-DL008-20250806-2503,13
2025-08-06,DL002,BR-PAD-F-MG,RECEIPT,4,PO-DL002-20250806-906,5
2025-08-06,DL002,TYRE-225-55-18,ISSUE,1,JO-DL002-20250806-3425,1
2025-08-07,DL004,OIL-5W30-4L,ISSUE,1,JO-DL004-20250807-2931,11
2025-08-07,DL007,CABIN-FILTER-MG,ISSUE,1,JO-DL007-20250807-9379,8
2025-08-07,DL004,HV-MODULE-MG,RECEIPT,1,PO-DL004-20250807-147,2
2025-08-07,DL004,TYRE-215-60-17,ISSUE,1,JO-DL004-20250807-5251,3
2025-08-07,DL005,BATT-12V-60AH,RECEIPT,2,PO-DL005-20250807-464,3
2025-08-07,DL001,BR-PAD-F-MG,ISSUE,1,JO-DL001-20250807-6039,3
2025-08-08,DL001,OIL-FILTER-MG,ISSUE,1,JO-DL001-20250808-8043,25
2025-08-08,DL008,THERMOSTAT-MG,RECEIPT,2,PO-DL008-20250808-630,3
2025-08-08,DL006,AIR-FILTER-MG,ISSUE,1,JO-DL006-20250808-1349,3
2025-08-08,DL006,BR-PAD-R-MG,RECEIPT,4,PO-DL006-20250808-469,5
2025-08-08,DL008,OBD-HARNESS-MG,RECEIPT,2,PO-DL008-20250808-429,3
2025-08-08,DL003,OIL-FILTER-MG,ISSUE,1,JO-DL003-20250808-2875,13
2025-08-09,DL006,COOLANT-1L,ISSUE,1,JO-DL006-20250809-9051,9
2025-08-09,DL005,BATT-12V-70AH,ISSUE,1,JO-DL005-20250809-4442,1
2025-08-09,DL007,BR-PAD-R-MG,ISSUE,1,JO-DL007-20250809-1263,4
2025-08-09,DL004,HV-MODULE-MG,ISSUE,1,JO-DL004-20250809-8198,1
2025-08-09,DL003,TYRE-215-60-17,RECEIPT,4,PO-DL003-20250809-111,5
2025-08-09,DL005,BR-PAD-F-MG,ISSUE,1,JO-DL005-20250809-7519,1
2025-08-09,DL003,OIL-FILTER-MG,ISSUE,1,JO-DL003-20250809-8234,12
2025-08-09,DL006,THERMOSTAT-MG,RECEIPT,2,PO-DL006-20250809-588,3
2025-08-09,DL002,BR-FLUID-DOT4,ISSUE,1,JO-DL002-20250809-1284,7
2025-08-09,DL008,OIL-5W30-4L,ISSUE,1,JO-DL008-20250809-8672,9
2025-08-09,DL006,TYRE-225-55-18,ISSUE,1,JO-DL006-20250809-4799,2
2025-08-10,DL008,BR-PAD-R-MG,ISSUE,1,JO-DL008-20250810-3847,2
2025-08-10,DL005,BR-FLUID-DOT4,ISSUE,1,JO-DL005-20250810-7555,5
2025-08-10,DL001,BMS-FUSE-MG,ISSUE,1,JO-DL001-20250810-8091,2
2025-08-10,DL007,TYRE-225-55-18,ISSUE,1,JO-DL007-20250810-4386,3
2025-08-10,DL004,BMS-FUSE-MG,ISSUE,1,JO-DL004-20250810-3896,1
2025-08-10,DL001,BMS-FUSE-MG,RECEIPT,2,PO-DL001-20250810-890,3
2025-08-11,DL003,OBD-HARNESS-MG,ISSUE,1,JO-DL003-20250811-1065,2
2025-08-11,DL002,OIL-FILTER-MG,ISSUE,1,JO-DL002-20250811-6758,17
2025-08-12,DL005,BATT-12V-70AH,RECEIPT,2,PO-DL005-20250812-573,3
2025-08-12,DL006,OIL-FILTER-MG,ISSUE,1,JO-DL006-20250812-5488,26
2025-08-12,DL003,BR-FLUID-DOT4,ISSUE,1,JO-DL003-20250812-3509,3
2025-08-12,DL007,OIL-FILTER-MG,ISSUE,1,JO-DL007-20250812-5225,5
2025-08-12,DL004,WIPER-BLADE-MG,ISSUE,1,JO-DL004-20250812-9744,3
