vin,model_code,model_name,fuel_type,manufacture_year,dealer_code,dealer_name,dealer_city,region,home_lat,home_long,driver_profile,color,initial_odometer,battery_capacity_kwh,rated_range_km,fuel_tank_l,base_fuel_l100km
MZ7XGLN00100044,GLOSTER,MG Gloster,ICE,2022,DL001,MG Motors New Delhi,New Delhi,North,28.94345855378856,76.75196186646511,aggressive,Aurora Silver,65065.0,,,75.0,12.0
MZ7XGLR00100045,GLOSTER,MG Gloster,ICE,2024,DL008,MG Motors Ahmedabad,Ahmedabad,West,23.332025880273594,72.85947754077132,delivery_driver,Harbour Grey,6953.0,,,75.0,12.0
MZ7XZSR00100046,ZSEV,MG ZS EV,EV,2024,DL005,MG Motors Hyderabad,Hyderabad,South,17.394222870190415,78.84757214412255,urban_commuter,Evanescent Purple,7355.0,50.3,461.0,,
MZ7XHEM00100047,HECTOR,MG Hector,ICE,2021,DL004,MG Motors Chennai,Chennai,South,13.057877274023745,80.18688936859488,eco_driver,Glaze Red,49383.0,,,50.0,9.0
MZ7XGLN00100048,GLOSTER,MG Gloster,ICE,2022,DL003,MG Motors Bangalore,Bangalore,South,12.84946407972693,77.77574334545595,highway_cruiser,Starry Black,96821.0,,,75.0,12.0
MZ7XASR00100049,ASTOR,MG Astor,PHEV,2024,DL003,MG Motors Bangalore,Bangalore,South,13.005434789830003,77.93856048877363,hill_region,Aurora Silver,6458.0,13.0,80.0,45.0,7.0
MZ7XZSR00100050,ZSEV,MG ZS EV,EV,2024,DL002,MG Motors Mumbai,Mumbai,West,18.86815561418246,73.11489316231028,aggressive,Pearl White,18463.0,50.3,461.0,,
MZ7XZSR00100051,ZSEV,MG ZS EV,EV,2024,DL002,MG Motors Mumbai,Mumbai,West,18.675095748229932,73.10571562827143,delivery_driver,Starry Black,5770.0,50.3,461.0,,
MZ7XGLR00100052,GLOSTER,MG Gloster,ICE,2024,DL005,MG Motors Hyderabad,Hyderabad,South,17.680884176085094,78.58368200446635,urban_commuter,Aurora Silver,9182.0,,,75.0,12.0
MZ7XZSM00100053,ZSEV,MG ZS EV,EV,2021,DL007,MG Motors Kolkata,Kolkata,East,22.1650491975644,88.47616570002413,hill_region,Glaze Red,53123.0,50.3,461.0,,
MZ7XGLP00100054,GLOSTER,MG Gloster,ICE,2023,DL002,MG Motors Mumbai,Mumbai,West,19.10263177551312,73.14392339000658,aggressive,Harbour Grey,50253.0,,,75.0,12.0
MZ7XHEM00100055,HECTOR,MG Hector,ICE,2021,DL007,MG Motors Kolkata,Kolkata,East,22.18710356590011,87.94770901191077,aggressive,Harbour Grey,92389.0,,,50.0,9.0
MZ7XZSN00100056,ZSEV,MG ZS EV,EV,2022,DL006,MG Motors Pune,Pune,West,18.353637758328237,74.25836654736153,taxi_fleet,Evanescent Purple,99246.0,50.3,461.0,,
MZ7XHEP00100057,HECTOR,MG Hector,ICE,2023,DL007,MG Motors Kolkata,Kolkata,East,22.217783372542193,88.79612746337574,highway_cruiser,Glaze Red,51487.0,,,50.0,9.0
MZ7XHEN00100058,HECTOR,MG Hector,ICE,2022,DL006,MG Motors Pune,Pune,West,18.956139986838462,74.14030149390939,taxi_fleet,Candy White,92861.0,,,50.0,9.0
MZ7XHEM00100059,HECTOR,MG Hector,ICE,2021,DL004,MG Motors Chennai,Chennai,South,12.698478577217042,80.62053367919079,elderly_cautious,Nordic Blue,40027.0,,,50.0,9.0
MZ7XZSM00100060,ZSEV,MG ZS EV,EV,2021,DL001,MG Motors New Delhi,New Delhi,North,28.122302685888602,77.15431796184176,aggressive,Nordic Blue,133065.0,50.3,461.0,,
MZ7XHEN00100061,HECTOR,MG Hector,ICE,2022,DL007,MG Motors Kolkata,Kolkata,East,22.988441895515553,88.64129403543151,aggressive,Aurora Silver,75338.0,,,50.0,9.0
MZ7XGLR00100062,GLOSTER,MG Gloster,ICE,2024,DL004,MG Motors Chennai,Chennai,South,13.41689657966094,79.87641953187138,delivery_driver,Nordic Blue,4699.0,,,75.0,12.0
MZ7XZSP00100063,ZSEV,MG ZS EV,EV,2023,DL008,MG Motors Ahmedabad,Ahmedabad,West,22.558999503204472,72.32082805804114,eco_driver,Pearl White,33431.0,50.3,461.0,,
MZ7XGLR00100064,GLOSTER,MG Gloster,ICE,2024,DL007,MG Motors Kolkata,Kolkata,East,22.72626903932749,87.89616271049469,urban_commuter,Pearl White,8973.0,,,75.0,12.0
MZ7XGLR00100065,GLOSTER,MG Gloster,ICE,2024,DL001,MG Motors New Delhi,New Delhi,North,28.95940884292307,76.75723194015326,eco_driver,Evanescent Purple,7588.0,,,75.0,12.0
MZ7XZSR00100066,ZSEV,MG ZS EV,EV,2024,DL008,MG Motors Ahmedabad,Ahmedabad,West,23.367980218655383,72.12015129954706,taxi_fleet,Aurora Silver,20139.0,50.3,461.0,,
MZ7XGLP00100067,GLOSTER,MG Gloster,ICE,2023,DL002,MG Motors Mumbai,Mumbai,West,19.431131099761934,72.53521299244109,aggressive,Nordic Blue,55301.0,,,75.0,12.0
MZ7XZSM00100068,ZSEV,MG ZS EV,EV,2021,DL001,MG Motors New Delhi,New Delhi,North,29.09020478489868,77.31154360597708,urban_commuter,Candy White,56747.0,50.3,461.0,,
MZ7XZSM00100069,ZSEV,MG ZS EV,EV,2021,DL001,MG Motors New Delhi,New Delhi,North,28.283127846422502,76.7917210058242,urban_commuter,Harbour Grey,56737.0,50.3,461.0,,
MZ7XGLR00100070,GLOSTER,MG Gloster,ICE,2024,DL004,MG Motors Chennai,Chennai,South,13.216408342107776,80.34241314995863,aggressive,Aurora Silver,20014.0,,,75.0,12.0
MZ7XASN00100071,ASTOR,MG Astor,PHEV,2022,DL002,MG Motors Mumbai,Mumbai,West,19.229233155245307,73.32059440969552,highway_cruiser,Candy White,120945.0,13.0,80.0,45.0,7.0
MZ7XGLP00100072,GLOSTER,MG Gloster,ICE,2023,DL004,MG Motors Chennai,Chennai,South,12.699217526197744,79.90409460987276,highway_cruiser,Harbour Grey,63795.0,,,75.0,12.0
MZ7XHER00100073,HECTOR,MG Hector,ICE,2024,DL003,MG Motors Bangalore,Bangalore,South,12.88181089658557,77.4987831094287,highway_cruiser,Candy White,23344.0,,,50.0,9.0
MZ7XGLP00100074,GLOSTER,MG Gloster,ICE,2023,DL008,MG Motors Ahmedabad,Ahmedabad,West,22.948400044156863,72.55413267509017,highway_cruiser,Starry Black,46762.0,,,75.0,12.0
MZ7XHEP00100075,HECTOR,MG Hector,ICE,2023,DL002,MG Motors Mumbai,Mumbai,West,19.232433056521028,72.69621415182404,aggressive,Nordic Blue,55853.0,,,50.0,9.0
MZ7XZSP00100076,ZSEV,MG ZS EV,EV,2023,DL003,MG Motors Bangalore,Bangalore,South,12.830657334450255,77.60273924460677,highway_cruiser,Evanescent Purple,69699.0,50.3,461.0,,
MZ7XZSR00100077,ZSEV,MG ZS EV,EV,2024,DL006,MG Motors Pune,Pune,West,18.819870410763837,73.6744506917442,hill_region,Candy White,7287.0,50.3,461.0,,
MZ7XZSN00100078,ZSEV,MG ZS EV,EV,2022,DL004,MG Motors Chennai,Chennai,South,13.421993211039464,79.82556791690688,urban_commuter,Pearl White,26756.0,50.3,461.0,,
MZ7XHEP00100079,HECTOR,MG Hector,ICE,2023,DL003,MG Motors Bangalore,Bangalore,South,12.484682843560071,77.91717342452068,urban_commuter,Glaze Red,24745.0,,,50.0,9.0
MZ7XZSN00100080,ZSEV,MG ZS EV,EV,2022,DL004,MG Motors Chennai,Chennai,South,12.699672555864895,80.13491936107825,urban_commuter,Candy White,38178.0,50.3,461.0,,
MZ7XASN00100081,ASTOR,MG Astor,PHEV,2022,DL008,MG Motors Ahmedabad,Ahmedabad,West,23.235406365484014,72.46784169516364,taxi_fleet,Glaze Red,100133.0,13.0,80.0,45.0,7.0
MZ7XZSM00100082,ZSEV,MG ZS EV,EV,2021,DL003,MG Motors Bangalore,Bangalore,South,12.633751304258297,77.25590686787653,urban_commuter,Aurora Silver,51158.0,50.3,461.0,,
MZ7XASM00100083,ASTOR,MG Astor,PHEV,2021,DL007,MG Motors Kolkata,Kolkata,East,22.211595888568773,88.30824561325436,aggressive,Evanescent Purple,154914.0,13.0,80.0,45.0,7.0
MZ7XHEM00100084,HECTOR,MG Hector,ICE,2021,DL003,MG Motors Bangalore,Bangalore,South,12.939326934190403,77.24067297381325,taxi_fleet,Glaze Red,120993.0,,,50.0,9.0
MZ7XASP00100085,ASTOR,MG Astor,PHEV,2023,DL002,MG Motors Mumbai,Mumbai,West,19.070197542401583,72.96644517301479,urban_commuter,Starry Black,18905.0,13.0,80.0,45.0,7.0
MZ7XHEM00100086,HECTOR,MG Hector,ICE,2021,DL001,MG Motors New Delhi,New Delhi,North,28.74758870047846,77.34914905013427,urban_commuter,Aurora Silver,60790.0,,,50.0,9.0
MZ7XZSP00100087,ZSEV,MG ZS EV,EV,2023,DL006,MG Motors Pune,Pune,West,18.358456483297324,74.20447887328719,urban_commuter,Glaze Red,22112.0,50.3,461.0,,
MZ7XHER00100088,HECTOR,MG Hector,ICE,2024,DL005,MG Motors Hyderabad,Hyderabad,South,17.78955224387135,78.57712394053698,delivery_driver,Pearl White,5415.0,,,50.0,9.0
MZ7XHER00100089,HECTOR,MG Hector,ICE,2024,DL007,MG Motors Kolkata,Kolkata,East,22.468552506701542,88.77733767255168,aggressive,Candy White,13047.0,,,50.0,9.0
MZ7XZSM00100090,ZSEV,MG ZS EV,EV,2021,DL004,MG Motors Chennai,Chennai,South,12.604823131798572,80.69746045850403,highway_cruiser,Nordic Blue,123222.0,50.3,461.0,,
MZ7XHEP00100091,HECTOR,MG Hector,ICE,2023,DL004,MG Motors Chennai,Chennai,South,13.283033465698892,80.40376977306926,aggressive,Pearl White,44467.0,,,50.0,9.0
MZ7XASP00100092,ASTOR,MG Astor,PHEV,2023,DL007,MG Motors Kolkata,Kolkata,East,22.973327871964052,88.58069594671835,aggressive,Glaze Red,59346.0,13.0,80.0,45.0,7.0
MZ7XZSM00100093,ZSEV,MG ZS EV,EV,2021,DL008,MG Motors Ahmedabad,Ahmedabad,West,22.97008869952737,72.63310380241127,delivery_driver,Pearl White,43071.0,50.3,461.0,,
MZ7XZSR00100094,ZSEV,MG ZS EV,EV,2024,DL004,MG Motors Chennai,Chennai,South,13.313753497437917,80.51998353793526,elderly_cautious,Nordic Blue,3928.0,50.3,461.0,,
MZ7XGLP00100095,GLOSTER,MG Gloster,ICE,2023,DL003,MG Motors Bangalore,Bangalore,South,13.455540169494927,77.55497345619365,urban_commuter,Evanescent Purple,21466.0,,,75.0,12.0
MZ7XASN00100096,ASTOR,MG Astor,PHEV,2022,DL002,MG Motors Mumbai,Mumbai,West,19.13546171013776,73.18205978698572,taxi_fleet,Glaze Red,67580.0,13.0,80.0,45.0,7.0
MZ7XZSM00100097,ZSEV,MG ZS EV,EV,2021,DL008,MG Motors Ahmedabad,Ahmedabad,West,22.639282291114558,72.75530562866749,urban_commuter,Glaze Red,36752.0,50.3,461.0,,
MZ7XZSR00100098,ZSEV,MG ZS EV,EV,2024,DL006,MG Motors Pune,Pune,West,18.82087159210663,73.40896370982328,delivery_driver,Harbour Grey,6175.0,50.3,461.0,,
MZ7XZSN00100099,ZSEV,MG ZS EV,EV,2022,DL002,MG Motors Mumbai,Mumbai,West,19.257287399364394,72.40960728912862,delivery_driver,Pearl White,27236.0,50.3,461.0,,
