DealerCode,Region,CompanyCode,CreatedOn,CreatedOnTime,Zone,DealerName,DealerCity,LicensePlateNumber,VIN,Status,ServiceType,ModelSalesCode,ModelSalesCodeDescription,Color,Mileage,OrderItem,LabPart,MaterialGroup,DescriptionOne,OrderQuantity,UnitPrice,NetValue,Tax,TotalValue,GrossValue,KeyField,IssueType,WarrantyContribution,InsuranceContribution,DiscountContribution
DL007,East,MG001,2024-11-29,23:24:00,East,MG Motors Kolkata,Kolkata,PB68AC1188,MZ7XZSR00100001,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Aurora Silver,20000.0,1ECED510-02,PART,FILTER,CABIN FILTER,1.0,678.92,678.92,122.21,801.13,801.13,WO-1ECED510,PAID,0.0,61.65,23.87
DL007,East,MG001,2024-11-29,23:24:00,East,MG Motors Kolkata,Kolkata,TS99AC2827,MZ7XZSR00100001,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Aurora Silver,20000.0,1ECED510-03,PART,SPARE,WIPER BLADE,1.0,604.09,604.09,108.74,712.83,712.83,WO-1ECED510,PAID,0.0,16.33,31.54
DL007,East,MG001,2024-11-29,23:24:00,East,MG Motors Kolkata,Kolkata,TS65AB9317,MZ7XZSR00100001,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Aurora Silver,20000.0,1ECED510-04,LAB,LABOUR,TYRE CHECK LAB,1.0,388.05,388.05,69.85,457.9,457.9,WO-1ECED510,PAID,0.0,14.48,0.07
DL007,East,MG001,2024-11-29,23:24:00,East,MG Motors Kolkata,Kolkata,TN20AC3646,MZ7XZSR00100001,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Aurora Silver,20000.0,1ECED510-05,LAB,LABOUR,SW UPDATE LAB,1.0,865.05,865.05,155.71,1020.76,1020.76,WO-1ECED510,PAID,0.0,177.72,15.23
DL007,East,MG001,2024-11-29,23:24:00,East,MG Motors Kolkata,Kolkata,DL77AC9005,MZ7XZSR00100001,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Aurora Silver,20000.0,1ECED510-06,LAB,LABOUR,LABOUR FULL,1.0,1323.63,1323.63,238.25,1561.88,1561.88,WO-1ECED510,PAID,0.0,243.22,41.42
DL007,East,MG001,2024-11-29,23:24:00,East,MG Motors Kolkata,Kolkata,DL31BB2290,MZ7XZSR00100001,CLOSED,HV_BATTERY_INSPECT,ZSEV,MG ZS EV,Aurora Silver,20000.0,679F6175-01,LAB,LABOUR,DIAG HV BAT,1.0,2078.72,2078.72,374.17,2452.89,2452.89,WO-679F6175,PAID,0.0,408.0,37.71
DL007,East,MG001,2024-11-29,23:24:00,East,MG Motors Kolkata,Kolkata,KA17BA3705,MZ7XZSR00100001,CLOSED,HV_BATTERY_INSPECT,ZSEV,MG ZS EV,Aurora Silver,20000.0,679F6175-02,LAB,LABOUR,BMS CALIBRATE,1.0,859.96,859.96,154.79,1014.75,1014.75,WO-679F6175,PAID,0.0,98.63,3.51
DL005,South,MG001,2024-03-11,12:36:00,South,MG Motors Hyderabad,Hyderabad,TN92AC7537,MZ7XZSN00100002,CLOSED,TYRE_ROTATION,ZSEV,MG ZS EV,Glaze Red,40000.0,88A6F3DC-01,LAB,LABOUR,LABOUR TYRE,1.0,284.63,284.63,51.23,335.86,335.86,WO-88A6F3DC,PAID,0.0,14.23,9.06
DL006,West,MG001,2024-03-11,12:36:00,West,MG Motors Pune,Pune,GJ03BB4770,MZ7XZSN00100002,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Glaze Red,40000.0,6525E3A4-01,PART,FILTER,AIR FILTER,1.0,555.27,555.27,99.95,655.22,655.22,WO-6525E3A4,WTY,482.44,0.0,7.36
DL006,West,MG001,2024-03-11,12:36:00,West,MG Motors Pune,Pune,DL30AA1514,MZ7XZSN00100002,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Glaze Red,40000.0,6525E3A4-02,PART,FILTER,CABIN FILTER,1.0,676.53,676.53,121.78,798.31,798.31,WO-6525E3A4,WTY,560.54,0.0,28.25
DL006,West,MG001,2024-03-11,12:36:00,West,MG Motors Pune,Pune,PB28BB3167,MZ7XZSN00100002,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Glaze Red,40000.0,6525E3A4-03,PART,SPARE,WIPER BLADE,1.0,657.89,657.89,118.42,776.31,776.31,WO-6525E3A4,WTY,559.92,0.0,9.24
DL006,West,MG001,2024-03-11,12:36:00,West,MG Motors Pune,Pune,TN61BA4119,MZ7XZSN00100002,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Glaze Red,40000.0,6525E3A4-04,LAB,LABOUR,TYRE CHECK LAB,1.0,517.01,517.01,93.06,610.07,610.07,WO-6525E3A4,WTY,588.54,0.0,17.58
DL006,West,MG001,2024-03-11,12:36:00,West,MG Motors Pune,Pune,WB60AA2612,MZ7XZSN00100002,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Glaze Red,40000.0,6525E3A4-05,LAB,LABOUR,SW UPDATE LAB,1.0,537.73,537.73,96.79,634.52,634.52,WO-6525E3A4,WTY,569.61,0.0,11.24
DL006,West,MG001,2024-03-11,12:36:00,West,MG Motors Pune,Pune,MH32AB4116,MZ7XZSN00100002,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Glaze Red,40000.0,6525E3A4-06,LAB,LABOUR,LABOUR FULL,1.0,1036.37,1036.37,186.55,1222.92,1222.92,WO-6525E3A4,WTY,1123.21,0.0,48.95
DL005,South,MG001,2024-03-11,12:36:00,South,MG Motors Hyderabad,Hyderabad,MH57BB2604,MZ7XZSN00100002,CLOSED,HV_BATTERY_INSPECT,ZSEV,MG ZS EV,Glaze Red,40000.0,3AE462A2-01,LAB,LABOUR,DIAG HV BAT,1.0,1383.49,1383.49,249.03,1632.52,1632.52,WO-3AE462A2,WTY,1369.34,0.0,71.38
DL005,South,MG001,2024-03-11,12:36:00,South,MG Motors Hyderabad,Hyderabad,MH97AB3724,MZ7XZSN00100002,CLOSED,HV_BATTERY_INSPECT,ZSEV,MG ZS EV,Glaze Red,40000.0,3AE462A2-02,LAB,LABOUR,BMS CALIBRATE,1.0,835.41,835.41,150.37,985.78,985.78,WO-3AE462A2,WTY,985.57,0.0,41.21
DL005,South,MG001,2024-07-14,12:36:00,South,MG Motors Hyderabad,Hyderabad,DL50AC8454,MZ7XZSN00100002,CLOSED,BRAKE_CHECK,ZSEV,MG ZS EV,Glaze Red,45000.0,E6D52A4C-01,PART,SPARE,BRAKE PAD F,1.0,3296.98,3296.98,593.46,3890.44,3890.44,WO-E6D52A4C,WTY,3776.58,0.0,32.03
DL005,South,MG001,2024-07-14,12:36:00,South,MG Motors Hyderabad,Hyderabad,PB20AB5861,MZ7XZSN00100002,CLOSED,BRAKE_CHECK,ZSEV,MG ZS EV,Glaze Red,45000.0,E6D52A4C-02,PART,SPARE,BRAKE PAD R,1.0,1785.25,1785.25,321.34,2106.59,2106.59,WO-E6D52A4C,WTY,1914.84,0.0,76.94
DL005,South,MG001,2024-07-14,12:36:00,South,MG Motors Hyderabad,Hyderabad,DL96AC1936,MZ7XZSN00100002,CLOSED,BRAKE_CHECK,ZSEV,MG ZS EV,Glaze Red,45000.0,E6D52A4C-03,LAB,LABOUR,LABOUR BRAKE,1.0,930.62,930.62,167.51,1098.13,1098.13,WO-E6D52A4C,WTY,787.96,0.0,40.4
DL005,South,MG001,2024-11-16,12:36:00,South,MG Motors Hyderabad,Hyderabad,MH24AA2113,MZ7XZSN00100002,CLOSED,TYRE_ROTATION,ZSEV,MG ZS EV,Glaze Red,50000.0,09B91B96-01,LAB,LABOUR,LABOUR TYRE,1.0,383.88,383.88,69.1,452.98,452.98,WO-09B91B96,WTY,389.26,0.0,1.29
DL006,West,MG001,2024-01-27,03:24:00,West,MG Motors Pune,Pune,DL80AA7868,MZ7XZSM00100003,CLOSED,TYRE_ROTATION,ZSEV,MG ZS EV,Harbour Grey,190000.0,B399D8B6-01,LAB,LABOUR,LABOUR TYRE,1.0,223.98,223.98,40.32,264.3,264.3,WO-B399D8B6,WTY,255.6,0.0,3.25
DL006,West,MG001,2024-04-19,11:24:00,West,MG Motors Pune,Pune,GJ31AC7484,MZ7XZSM00100003,CLOSED,TYRE_ROTATION,ZSEV,MG ZS EV,Harbour Grey,200000.0,0F856A95-01,LAB,LABOUR,LABOUR TYRE,1.0,263.27,263.27,47.39,310.66,310.66,WO-0F856A95,WTY,241.76,0.0,10.4
DL006,West,MG001,2024-04-19,11:24:00,West,MG Motors Pune,Pune,DL59BB2638,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,200000.0,0652BDB4-01,PART,FILTER,AIR FILTER,1.0,537.17,537.17,96.69,633.86,633.86,WO-0652BDB4,PAID,0.0,117.77,29.66
DL006,West,MG001,2024-04-19,11:24:00,West,MG Motors Pune,Pune,GJ09AB7054,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,200000.0,0652BDB4-02,PART,FILTER,CABIN FILTER,1.0,521.98,521.98,93.96,615.94,615.94,WO-0652BDB4,PAID,0.0,26.26,8.17
DL006,West,MG001,2024-04-19,11:24:00,West,MG Motors Pune,Pune,TS79BB1128,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,200000.0,0652BDB4-03,PART,SPARE,WIPER BLADE,1.0,485.5,485.5,87.39,572.89,572.89,WO-0652BDB4,PAID,0.0,50.21,15.56
DL006,West,MG001,2024-04-19,11:24:00,West,MG Motors Pune,Pune,MH18AC2891,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,200000.0,0652BDB4-04,LAB,LABOUR,TYRE CHECK LAB,1.0,500.36,500.36,90.06,590.42,590.42,WO-0652BDB4,PAID,0.0,65.49,27.51
DL006,West,MG001,2024-04-19,11:24:00,West,MG Motors Pune,Pune,TS78AB6617,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,200000.0,0652BDB4-05,LAB,LABOUR,SW UPDATE LAB,1.0,855.89,855.89,154.06,1009.95,1009.95,WO-0652BDB4,PAID,0.0,149.96,7.85
DL006,West,MG001,2024-04-19,11:24:00,West,MG Motors Pune,Pune,PB33AA2512,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,200000.0,0652BDB4-06,LAB,LABOUR,LABOUR FULL,1.0,1122.16,1122.16,201.99,1324.15,1324.15,WO-0652BDB4,PAID,0.0,167.97,17.48
DL006,West,MG001,2024-04-19,11:24:00,West,MG Motors Pune,Pune,TS21BA8007,MZ7XZSM00100003,CLOSED,HV_BATTERY_INSPECT,ZSEV,MG ZS EV,Harbour Grey,200000.0,532AC4D2-01,LAB,LABOUR,DIAG HV BAT,1.0,1244.09,1244.09,223.94,1468.03,1468.03,WO-532AC4D2,PAID,0.0,97.93,9.6
DL006,West,MG001,2024-04-19,11:24:00,West,MG Motors Pune,Pune,KA70AA7049,MZ7XZSM00100003,CLOSED,HV_BATTERY_INSPECT,ZSEV,MG ZS EV,Harbour Grey,200000.0,532AC4D2-02,LAB,LABOUR,BMS CALIBRATE,1.0,1192.63,1192.63,214.67,1407.3,1407.3,WO-532AC4D2,PAID,0.0,31.49,66.5
DL006,West,MG001,2024-07-11,19:24:00,West,MG Motors Pune,Pune,DL46AB5088,MZ7XZSM00100003,CLOSED,TYRE_ROTATION,ZSEV,MG ZS EV,Harbour Grey,210000.0,EDE90B27-01,LAB,LABOUR,LABOUR TYRE,1.0,225.49,225.49,40.59,266.08,266.08,WO-EDE90B27,WTY,210.86,0.0,11.96
DL006,West,MG001,2024-07-11,19:24:00,West,MG Motors Pune,Pune,KA31AB3900,MZ7XZSM00100003,CLOSED,AC_SERVICE,ZSEV,MG ZS EV,Harbour Grey,210000.0,2CF7773A-01,PART,CONSUMABLE,AC GAS R134,1.0,767.97,767.97,138.23,906.2,906.2,WO-2CF7773A,WTY,872.14,0.0,44.12
DL006,West,MG001,2024-07-11,19:24:00,West,MG Motors Pune,Pune,GJ53AB5371,MZ7XZSM00100003,CLOSED,AC_SERVICE,ZSEV,MG ZS EV,Harbour Grey,210000.0,2CF7773A-02,PART,FILTER,CABIN FILTER,1.0,764.42,764.42,137.6,902.02,902.02,WO-2CF7773A,WTY,638.12,0.0,33.22
DL006,West,MG001,2024-07-11,19:24:00,West,MG Motors Pune,Pune,DL61AB4269,MZ7XZSM00100003,CLOSED,AC_SERVICE,ZSEV,MG ZS EV,Harbour Grey,210000.0,2CF7773A-03,LAB,LABOUR,LABOUR AC,1.0,563.68,563.68,101.46,665.14,665.14,WO-2CF7773A,WTY,605.53,0.0,12.72
DL008,West,MG001,2024-10-03,03:24:00,West,MG Motors Ahmedabad,Ahmedabad,TN52AC5564,MZ7XZSM00100003,CLOSED,TYRE_ROTATION,ZSEV,MG ZS EV,Harbour Grey,220000.0,2D2D4321-01,LAB,LABOUR,LABOUR TYRE,1.0,364.11,364.11,65.54,429.65,429.65,WO-2D2D4321,WTY,413.06,0.0,4.79
DL005,South,MG001,2024-10-03,03:24:00,South,MG Motors Hyderabad,Hyderabad,GJ04AA5279,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,220000.0,00D01876-01,PART,FILTER,AIR FILTER,1.0,552.82,552.82,99.51,652.33,652.33,WO-00D01876,WTY,589.61,0.0,27.52
DL005,South,MG001,2024-10-03,03:24:00,South,MG Motors Hyderabad,Hyderabad,MH77BA6663,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,220000.0,00D01876-02,PART,FILTER,CABIN FILTER,1.0,553.57,553.57,99.64,653.21,653.21,WO-00D01876,WTY,645.87,0.0,8.67
DL005,South,MG001,2024-10-03,03:24:00,South,MG Motors Hyderabad,Hyderabad,MH50BB4114,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,220000.0,00D01876-03,PART,SPARE,WIPER BLADE,1.0,618.56,618.56,111.34,729.9,729.9,WO-00D01876,WTY,579.62,0.0,22.12
DL005,South,MG001,2024-10-03,03:24:00,South,MG Motors Hyderabad,Hyderabad,TN47BA2146,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,220000.0,00D01876-04,LAB,LABOUR,TYRE CHECK LAB,1.0,376.42,376.42,67.76,444.18,444.18,WO-00D01876,WTY,405.37,0.0,0.04
DL005,South,MG001,2024-10-03,03:24:00,South,MG Motors Hyderabad,Hyderabad,MH93AC9308,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,220000.0,00D01876-05,LAB,LABOUR,SW UPDATE LAB,1.0,879.55,879.55,158.32,1037.87,1037.87,WO-00D01876,WTY,1013.2,0.0,32.34
DL005,South,MG001,2024-10-03,03:24:00,South,MG Motors Hyderabad,Hyderabad,TS71AB4143,MZ7XZSM00100003,CLOSED,FULL_SERVICE,ZSEV,MG ZS EV,Harbour Grey,220000.0,00D01876-06,LAB,LABOUR,LABOUR FULL,1.0,1185.57,1185.57,213.4,1398.97,1398.97,WO-00D01876,WTY,1150.68,0.0,28.15
DL006,West,MG001,2024-10-03,03:24:00,West,MG Motors Pune,Pune,TS52BB1006,MZ7XZSM00100003,CLOSED,HV_BATTERY_INSPECT,ZSEV,MG ZS EV,Harbour Grey,220000.0,E5019463-01,LAB,LABOUR,DIAG HV BAT,1.0,1877.32,1877.32,337.92,2215.24,2215.24,WO-E5019463,PAID,0.0,399.99,68.18
DL006,West,MG001,2024-10-03,03:24:00,West,MG Motors Pune,Pune,GJ60BA8244,MZ7XZSM00100003,CLOSED,HV_BATTERY_INSPECT,ZSEV,MG ZS EV,Harbour Grey,220000.0,E5019463-02,LAB,LABOUR,BMS CALIBRATE,1.0,1012.71,1012.71,182.29,1195.0,1195.0,WO-E5019463,PAID,0.0,50.23,46.95
DL006,West,MG001,2024-11-13,19:24:00,West,MG Motors Pune,Pune,MH37BB6491,MZ7XZSM00100003,CLOSED,BRAKE_CHECK,ZSEV,MG ZS EV,Harbour Grey,225000.0,ECDA82F7-01,PART,SPARE,BRAKE PAD F,1.0,3190.6,3190.6,574.31,3764.91,3764.91,WO-ECDA82F7,WTY,3719.54,0.0,138.54
DL006,West,MG001,2024-11-13,19:24:00,West,MG Motors Pune,Pune,TS29AB3414,MZ7XZSM00100003,CLOSED,BRAKE_CHECK,ZSEV,MG ZS EV,Harbour Grey,225000.0,ECDA82F7-02,PART,SPARE,BRAKE PAD R,1.0,1593.39,1593.39,286.81,1880.2,1880.2,WO-ECDA82F7,WTY,1853.12,0.0,22.08
DL006,West,MG001,2024-11-13,19:24:00,West,MG Motors Pune,Pune,MH59BA4185,MZ7XZSM00100003,CLOSED,BRAKE_CHECK,ZSEV,MG ZS EV,Harbour Grey,225000.0,ECDA82F7-03,LAB,LABOUR,LABOUR BRAKE,1.0,814.66,814.66,146.64,961.3,961.3,WO-ECDA82F7,WTY,743.52,0.0,22.84
DL007,East,MG001,2024-12-25,11:24:00,East,MG Motors Kolkata,Kolkata,MH55AB3881,MZ7XZSM00100003,CLOSED,TYRE_ROTATION,ZSEV,MG ZS EV,Harbour Grey,230000.0,6F7D69E0-01,LAB,LABOUR,LABOUR TYRE,1.0,248.8,248.8,44.78,293.58,293.58,WO-6F7D69E0,WTY,263.29,0.0,0.08
DL008,West,MG001,2024-04-11,15:00:00,West,MG Motors Ahmedabad,Ahmedabad,PB86BB6198,MZ7XHEM00100004,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Aurora Silver,60000.0,20F14057-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,849.84,849.84,152.97,1002.81,1002.81,WO-20F14057,WTY,957.18,0.0,22.89
DL008,West,MG001,2024-04-11,15:00:00,West,MG Motors Ahmedabad,Ahmedabad,WB71BA3607,MZ7XHEM00100004,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Aurora Silver,60000.0,20F14057-02,PART,FILTER,OIL FILTER,1.0,275.0,275.0,49.5,324.5,324.5,WO-20F14057,WTY,313.93,0.0,9.94
DL008,West,MG001,2024-04-11,15:00:00,West,MG Motors Ahmedabad,Ahmedabad,TN82AC9540,MZ7XHEM00100004,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Aurora Silver,60000.0,20F14057-03,LAB,LABOUR,LABOUR OIL,1.0,448.73,448.73,80.77,529.5,529.5,WO-20F14057,WTY,446.05,0.0,6.86
DL004,South,MG001,2024-04-11,15:00:00,South,MG Motors Chennai,Chennai,GJ41BB2320,MZ7XHEM00100004,CLOSED,TYRE_ROTATION,HECTOR,MG Hector,Aurora Silver,60000.0,1A18EFCB-01,LAB,LABOUR,LABOUR TYRE,1.0,287.97,287.97,51.83,339.8,339.8,WO-1A18EFCB,WTY,310.6,0.0,3.98
DL004,South,MG001,2024-04-11,15:00:00,South,MG Motors Chennai,Chennai,WB43BB8633,MZ7XHEM00100004,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Aurora Silver,60000.0,A44CB988-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,938.79,938.79,168.98,1107.77,1107.77,WO-A44CB988,WTY,1010.2,0.0,3.56
DL004,South,MG001,2024-04-11,15:00:00,South,MG Motors Chennai,Chennai,DL98BB7232,MZ7XHEM00100004,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Aurora Silver,60000.0,A44CB988-02,PART,FILTER,OIL FILTER,1.0,221.58,221.58,39.88,261.46,261.46,WO-A44CB988,WTY,199.25,0.0,5.49
DL004,South,MG001,2024-04-11,15:00:00,South,MG Motors Chennai,Chennai,WB54BB9947,MZ7XHEM00100004,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Aurora Silver,60000.0,A44CB988-03,PART,FILTER,AIR FILTER,1.0,543.09,543.09,97.76,640.85,640.85,WO-A44CB988,WTY,629.84,0.0,9.57
DL004,South,MG001,2024-04-11,15:00:00,South,MG Motors Chennai,Chennai,TS56BA1475,MZ7XHEM00100004,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Aurora Silver,60000.0,A44CB988-04,PART,FILTER,FUEL FILTER,1.0,549.97,549.97,98.99,648.96,648.96,WO-A44CB988,WTY,629.07,0.0,15.84
DL004,South,MG001,2024-04-11,15:00:00,South,MG Motors Chennai,Chennai,KA60AB9751,MZ7XHEM00100004,CLOSED,FULL_SERVICE,HECTOR,MG Hector,Aurora Silver,60000.0,A44CB988-05,LAB,LABOUR,LABOUR FULL,1.0,1511.09,1511.09,272.0,1783.09,1783.09,WO-A44CB988,WTY,1605.96,0.0,71.16
DL004,South,MG001,2024-04-11,15:00:00,South,MG Motors Chennai,Chennai,KA60AB1823,MZ7XHEM00100004,CLOSED,AC_SERVICE,HECTOR,MG Hector,Aurora Silver,60000.0,53A59CFB-01,PART,CONSUMABLE,AC GAS R134,1.0,769.32,769.32,138.48,907.8,907.8,WO-53A59CFB,WTY,642.84,0.0,29.17
DL004,South,MG001,2024-04-11,15:00:00,South,MG Motors Chennai,Chennai,GJ98BA5558,MZ7XHEM00100004,CLOSED,AC_SERVICE,HECTOR,MG Hector,Aurora Silver,60000.0,53A59CFB-02,PART,FILTER,CABIN FILTER,1.0,578.05,578.05,104.05,682.1,682.1,WO-53A59CFB,WTY,544.46,0.0,15.51
DL004,South,MG001,2024-04-11,15:00:00,South,MG Motors Chennai,Chennai,MH61AA9837,MZ7XHEM00100004,CLOSED,AC_SERVICE,HECTOR,MG Hector,Aurora Silver,60000.0,53A59CFB-03,LAB,LABOUR,LABOUR AC,1.0,800.8,800.8,144.14,944.94,944.94,WO-53A59CFB,WTY,897.29,0.0,11.92
DL004,South,MG001,2024-04-11,15:00:00,South,MG Motors Chennai,Chennai,DL97AA5051,MZ7XHEM00100004,CLOSED,COOLANT_FLUSH,HECTOR,MG Hector,Aurora Silver,60000.0,D1B4F3F6-01,PART,CONSUMABLE,COOLANT OAT,1.0,789.69,789.69,142.14,931.83,931.83,WO-D1B4F3F6,PAID,0.0,12.79,44.6
DL004,South,MG001,2024-04-11,15:00:00,South,MG Motors Chennai,Chennai,KA61AA4571,MZ7XHEM00100004,CLOSED,COOLANT_FLUSH,HECTOR,MG Hector,Aurora Silver,60000.0,D1B4F3F6-02,LAB,LABOUR,LABOUR COOL,1.0,459.81,459.81,82.77,542.58,542.58,WO-D1B4F3F6,PAID,0.0,2.21,4.13
DL004,South,MG001,2024-10-16,03:00:00,South,MG Motors Chennai,Chennai,MH21AC2771,MZ7XHEM00100004,CLOSED,OIL_CHANGE,HECTOR,MG Hector,Aurora Silver,67500.0,D5B84BDA-01,PART,CONSUMABLE,OIL 5W30 4L,1.0,873.78,873.78,157.28,1031.06,1031.06,WO-D5B84BDA,WTY,909.16,0.0,49.68
