VIN,timestamp,StartTime-Date,vehSpeed,vehSysPwrMod,vehGearPos,vehSteeringAngle,vehBrakePos,vehAccelPos,tboxAccelX,tboxAccelY,tboxAccelZ,vehBatt,vehOdo,vehCoolantTemp,vehOutsideTemp,vehInsideTemp,vehAC,vehACFanSpeed,vehSideLight,vehDipLight,vehMainLight,vehRainDetected,vehNightDetected,vehHorn,vehSeatBeltDrv,vehBrkFludLvlLow,vehABSF,frontLeftTyrePressure,frontRrightTyrePressure,rearLeftTyrePressure,rearRightTyrePressure,wheelTyreMonitorStatus,gnssLat,gnssLong,gnssAlt,gnssHead,gnssSats,_failure_type,_failure_intensity,vehRPM,FuelTankLevel,vehFuelConsumed,vehOilPressureWarning,vehMILWarning,vehBMSBscSta,vehBMSPackVol,vehBMSPackCrnt,vehBMSPackSOC,vehBMSPackSOCV,vehBMSCellMaxVol,vehBMSCellMinVol,vehBMSCellMaxTem,vehBMSCellMinTem,vehHVDCDCTem,vehBMSCMUFlt,vehBMSCellVoltFlt,vehBMSPackTemFlt,vehBMSHVILClsd,chargingGunIsConnected,vehIsCharging,dcOrAC,usedBatterySinceLastCharge,mileageSinceLastCharge,vehElecRange,vehTMInvtrTem,vehTMSttrTem,vehEPTRdy,VehSpeed,VehSysPwrMod,VehRPM,VehGearPos,VehSteeringAngle,VehBrakePos,VehAccelPos,VehAccelX,VehBatt,VehOdo,VehFuelConsumed,EnginOilLifePct,VehCoolantTemp,VehOutsideTemp,VehEngineOilTemp,BrakePadFrontMM,BrakePadRearMM,BrakeFluidPct,BMSPackVol,BMSPackCrnt,BMSPackSOC,BMSPackSOH,BMSCellMaxVol,BMSCellMinVol,BMSCellMaxTemp,BMSCellMinTemp,SOCValid,TyrePressureFL,TyrePressureFR,TyrePressureRL,TyrePressureRR,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR,GNSSLat,GNSSLong,GNSSAlt,GNSSHead,GNSSSats
MZ7XASN00100026,1704902140,2024-01-10,0.0,2.0,0.0,70.9,0.0,0.0,0.0,-0.002,-0.058,14.12,73639.55,80.3,23.3,28.1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,81.3,81.2,81.3,81.3,1.0,18.954355,73.523525,8.2,46.3,10.0,,0.0,0.0,82.2,0.3261,0.0,0.0,3.0,201.0,0.0,99.9,0.0,4.2086,4.1872,26.9,23.4,40.0,0.0,0.0,0.0,1.0,0.0,0.0,,1386.164,4.25,72.0,35.5,40.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1717572030,2024-06-05,7.9,2.0,3.0,-66.5,0.7,12.1,1.695,0.006,-0.003,14.15,81933.83,64.1,33.7,33.3,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.2,82.2,82.5,82.4,1.0,18.955633,73.523624,10.9,286.9,14.0,,0.0,239.0,82.2,0.0251,0.0,0.0,3.0,172.0,13.29,0.0,0.0,3.3137,3.2946,29.6,25.7,41.2,0.0,0.0,0.0,1.0,0.0,0.0,,347.893,0.28,0.0,38.8,41.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1710660762,2024-03-17,0.5,2.0,0.0,-102.2,1.5,1.5,0.323,0.002,-0.013,14.09,77252.06,90.2,29.1,28.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.7,81.9,81.9,81.8,1.0,18.96482,73.514796,15.8,79.7,13.0,,0.0,0.0,82.2,2.1805,0.0,0.0,3.0,170.5,9.09,0.0,0.0,3.312,3.292,27.7,23.6,39.6,0.0,0.0,0.0,1.0,0.0,0.0,,15858.965,23.41,0.0,37.1,40.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1712250836,2024-04-04,38.7,2.0,3.0,-28.0,0.0,11.2,-0.565,0.038,0.04,14.08,78491.61,91.0,31.3,31.1,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,82.3,82.4,82.3,82.4,1.0,18.963638,73.521378,3.0,111.3,9.0,,0.0,1290.0,82.2,3.1721,0.0,0.0,3.0,169.7,31.68,0.0,0.0,3.3141,3.2918,31.0,26.7,44.0,0.0,0.0,0.0,1.0,0.0,0.0,,20415.529,33.08,0.0,40.3,46.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1712803519,2024-04-11,84.9,2.0,3.0,33.1,0.0,20.9,-0.242,0.137,0.047,13.99,78862.07,91.1,32.3,31.1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83.0,82.9,83.0,82.9,1.0,18.957518,73.517841,21.5,272.1,11.0,,0.0,3042.0,82.2,2.0374,0.0,0.0,3.0,169.9,58.82,0.0,0.0,3.3099,3.2914,33.1,29.5,45.0,0.0,0.0,0.0,1.0,0.0,0.0,,12220.914,21.49,0.0,46.2,48.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1716389587,2024-05-22,0.0,2.0,0.0,180.0,0.0,2.9,0.0,0.002,0.077,14.1,81239.88,91.1,33.9,33.4,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,82.3,82.4,82.3,82.2,1.0,18.955537,73.523989,-8.8,58.5,9.0,,0.0,0.0,82.2,2.1472,0.0,0.0,3.0,170.8,8.78,0.0,0.0,3.31,3.2915,27.5,23.4,40.4,0.0,0.0,0.0,1.0,0.0,0.0,,15561.447,22.54,0.0,38.7,41.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1711193644,2024-03-23,41.5,2.0,3.0,71.6,1.4,10.2,-0.737,0.019,-0.044,14.07,77665.39,90.4,30.2,28.6,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.4,82.3,82.2,82.3,1.0,18.954383,73.526477,10.4,243.8,13.0,,0.0,1496.0,82.2,0.9122,0.0,0.0,3.0,169.3,33.36,0.0,0.0,3.3122,3.2952,31.7,27.3,43.6,0.0,0.0,0.0,1.0,0.0,0.0,,5553.333,9.4,0.0,41.2,44.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1716695491,2024-05-26,22.5,2.0,3.0,31.0,0.0,5.2,-0.296,-0.01,0.064,14.26,81462.71,91.7,33.6,33.5,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.5,82.5,82.5,82.5,1.0,18.947135,73.51823,20.8,249.4,10.0,,0.0,769.0,82.2,2.7758,0.0,0.0,3.0,169.5,22.13,0.0,0.0,3.3144,3.2909,30.4,26.8,42.0,0.0,0.0,0.0,1.0,0.0,0.0,,19443.414,30.22,0.0,40.9,43.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1718630609,2024-06-17,0.0,2.0,0.0,93.1,0.0,0.0,0.0,0.004,-0.078,14.18,82572.13,90.9,33.9,33.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.1,82.2,82.3,82.2,1.0,18.960391,73.51432,17.4,12.6,12.0,,0.0,0.0,82.2,3.7348,0.0,0.0,3.0,170.9,8.78,0.0,0.0,3.3078,3.2888,28.2,24.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,,18555.185,36.29,0.0,37.5,40.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1714544912,2024-05-01,21.9,2.0,3.0,140.5,5.4,6.2,-1.356,0.03,-0.059,14.08,79986.0,90.7,33.7,31.3,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.5,82.4,82.3,82.5,1.0,18.961484,73.528039,12.4,113.0,9.0,,0.0,773.0,82.2,0.5368,0.0,0.0,3.0,167.7,22.02,0.0,0.0,3.3046,3.2876,29.2,25.4,40.4,0.0,0.0,0.0,1.0,0.0,0.0,,3818.638,5.83,0.0,37.5,44.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1707039716,2024-02-04,5.8,2.0,3.0,156.3,0.6,8.2,-0.366,-0.003,0.009,14.09,74822.46,91.8,26.1,30.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.5,81.5,81.6,81.5,1.0,18.959572,73.526999,7.0,336.5,10.0,,0.0,279.0,82.2,1.2261,0.0,0.0,3.0,169.9,3.4,0.0,0.0,3.3098,3.2963,27.0,23.0,40.6,0.0,0.0,0.0,1.0,0.0,0.0,,5226.187,15.99,0.0,35.6,41.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1716085157,2024-05-19,0.6,2.0,3.0,123.5,0.3,2.5,1.166,-0.001,0.088,14.01,81021.51,90.7,33.7,33.2,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.4,82.4,82.2,82.2,1.0,18.957568,73.525232,5.4,291.4,13.0,,0.0,73.0,82.2,0.3562,0.0,0.0,3.0,170.1,9.2,0.0,0.0,3.3095,3.2933,28.5,24.4,39.4,0.0,0.0,0.0,1.0,0.0,0.0,,4320.979,3.92,0.0,38.0,41.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1708742444,2024-02-24,17.2,2.0,3.0,-32.7,0.4,15.8,3.588,0.007,-0.007,14.07,76071.24,91.6,27.4,27.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.8,81.6,81.6,81.9,1.0,18.954313,73.523947,37.1,281.8,10.0,,0.0,598.0,82.2,2.2041,0.0,0.0,3.0,170.0,18.96,0.0,0.0,3.3078,3.2941,28.9,24.7,41.8,0.0,0.0,0.0,1.0,0.0,0.0,,13349.999,22.67,0.0,39.4,43.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1714918273,2024-05-05,0.0,2.0,0.0,-56.7,0.0,0.0,0.0,0.005,-0.031,14.14,80270.14,91.3,33.1,33.1,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,82.3,82.1,82.1,82.3,1.0,18.957842,73.520601,7.9,36.9,10.0,,0.0,0.0,82.2,0.6828,0.0,0.0,3.0,169.6,8.85,0.0,0.0,3.3031,3.2968,26.8,22.9,39.7,0.0,0.0,0.0,1.0,0.0,0.0,,5615.091,7.42,0.0,37.4,42.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1712934479,2024-04-12,23.8,2.0,3.0,-19.5,0.0,8.1,-0.345,0.026,-0.125,14.13,78929.73,91.8,32.4,30.5,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,82.2,82.3,82.2,82.3,1.0,18.95493,73.525512,-4.2,196.7,12.0,,0.0,935.0,82.2,1.6961,0.0,0.0,3.0,170.8,22.75,0.0,0.0,3.3075,3.2955,30.3,26.3,41.6,0.0,0.0,0.0,1.0,0.0,0.0,,11255.572,17.85,0.0,39.4,42.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1715162214,2024-05-08,30.6,2.0,3.0,53.7,4.6,13.0,-1.405,0.058,0.005,14.12,80332.33,92.0,33.6,33.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.5,82.5,82.6,82.6,1.0,18.953271,73.519606,22.8,279.0,14.0,,0.0,1159.0,82.2,0.3687,0.0,0.0,3.0,169.0,26.99,0.0,0.0,3.3116,3.2933,29.7,26.3,41.0,0.0,0.0,0.0,1.0,0.0,0.0,,3346.873,4.1,0.0,41.6,44.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1715656219,2024-05-14,66.7,2.0,3.0,-180.0,9.9,17.3,-2.219,-0.005,-0.089,14.09,80709.38,91.5,33.6,32.7,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.9,82.8,83.0,82.9,1.0,18.960651,73.520648,18.7,175.9,13.0,,0.0,2349.0,82.2,2.5011,0.0,0.0,3.0,172.0,47.6,0.0,0.0,3.3059,3.2882,32.0,28.7,45.2,0.0,0.0,0.0,1.0,0.0,0.0,,15087.161,26.19,0.0,44.6,47.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1715869120,2024-05-16,1.9,2.0,3.0,93.3,0.0,0.3,1.294,-0.007,-0.008,14.12,80899.69,91.1,33.8,32.1,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,82.2,82.4,82.3,82.2,1.0,18.956176,73.520825,10.2,82.5,12.0,,0.0,0.0,82.2,1.2454,0.0,0.0,3.0,168.6,10.04,0.0,0.0,3.3167,3.2871,27.3,23.4,39.1,0.0,0.0,0.0,1.0,0.0,0.0,,6687.364,12.47,0.0,37.0,41.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1709996776,2024-03-09,46.5,2.0,3.0,-96.7,9.9,13.3,-2.18,0.067,0.07,14.07,76730.09,91.6,28.7,28.1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,82.2,82.3,82.1,82.1,1.0,18.957308,73.519468,14.1,257.0,13.0,,0.0,1676.0,82.2,1.2354,0.0,0.0,3.0,169.8,36.3,0.0,0.0,3.307,3.2944,31.4,27.8,42.9,0.0,0.0,0.0,1.0,0.0,0.0,,6688.522,12.38,0.0,41.3,45.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1708856082,2024-02-25,0.0,2.0,0.0,-108.8,0.0,0.7,0.0,-0.012,-0.033,14.03,76121.07,90.9,27.5,26.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.7,81.5,81.5,81.7,1.0,18.951186,73.52301,1.7,11.8,12.0,,0.0,0.0,82.2,1.2009,0.0,0.0,3.0,172.1,8.71,0.0,0.0,3.3117,3.2886,27.5,23.8,38.6,0.0,0.0,0.0,1.0,0.0,0.0,,7106.01,12.66,0.0,36.1,41.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1704813538,2024-01-09,14.0,2.0,3.0,39.1,1.0,5.1,-0.272,0.008,0.033,14.06,73502.93,64.8,23.3,28.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,81.4,81.3,81.4,81.2,1.0,18.955066,73.526858,9.7,74.4,13.0,,0.0,500.0,82.2,0.075,0.0,0.0,3.0,169.3,8.25,0.0,0.0,3.3132,3.2907,26.6,22.9,41.2,0.0,0.0,0.0,1.0,0.0,0.0,,322.334,0.98,0.0,34.6,41.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1713539842,2024-04-19,0.1,2.0,0.0,-180.0,0.1,2.6,0.135,-0.007,0.006,14.17,79370.92,90.1,33.1,30.9,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,82.2,82.2,82.1,82.0,1.0,18.954478,73.526487,31.7,158.1,8.0,,0.0,0.0,82.2,2.0928,0.0,0.0,3.0,169.2,8.9,0.0,0.0,3.3021,3.2846,28.1,24.1,39.4,0.0,0.0,0.0,1.0,0.0,0.0,,13644.435,22.32,0.0,36.5,40.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1709365510,2024-03-02,0.0,2.0,0.0,94.4,0.0,1.6,0.0,-0.001,-0.058,14.1,76479.24,90.1,28.3,27.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.6,81.6,81.8,81.5,1.0,18.955676,73.523087,15.1,232.2,13.0,,0.0,0.0,82.2,0.6687,0.0,0.0,3.0,169.3,8.86,0.0,0.0,3.3118,3.2867,27.8,23.8,41.4,0.0,0.0,0.0,1.0,0.0,0.0,,3838.766,6.75,0.0,37.4,40.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1713887666,2024-04-23,4.4,2.0,3.0,180.0,0.0,8.7,2.486,0.003,0.031,14.09,79584.89,91.0,32.7,31.3,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,82.3,82.0,82.2,82.1,1.0,18.949097,73.523756,54.9,216.2,14.0,,0.0,241.0,82.2,3.6234,0.0,0.0,3.0,168.6,11.54,0.0,0.0,3.3037,3.2863,28.7,25.1,39.5,0.0,0.0,0.0,1.0,0.0,0.0,,19818.715,36.96,0.0,37.2,43.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1709305938,2024-03-01,17.6,2.0,3.0,-136.4,0.0,26.1,7.758,0.011,0.027,14.12,76438.33,91.5,28.4,27.6,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,81.7,81.9,81.9,81.9,1.0,18.956978,73.524572,12.7,305.2,11.0,,0.0,568.0,82.2,1.0814,0.0,0.0,3.0,168.8,19.37,0.0,0.0,3.3047,3.2935,29.6,25.2,40.4,0.0,0.0,0.0,1.0,0.0,0.0,,7115.374,11.08,0.0,38.9,43.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ7XASN00100026,1705327252,2024-01-15,44.8,2.0,3.0,-164.3,3.6,15.3,-0.892,0.054,-0.006,14.13,73939.96,90.9,23.6,28.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81.6,81.6,81.6,81.6,1.0,18.954701,73.525654,17.6,38.2,10.0,,0.0,1581.0,82.2,1.2761,0.0,0.0,3.0,168.4,26.62,0.0,0.0,3.3071,3.2922,30.1,26.1,43.5,0.0,0.0,0.0,1.0,0.0,0.0,,5572.667,16.76,0.0,38.2,44.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
