VIN,timestamp,StartTime-Date,vehSpeed,vehSysPwrMod,vehGearPos,vehSteeringAngle,vehBrakePos,vehAccelPos,tboxAccelX,tboxAccelY,tboxAccelZ,vehBatt,vehOdo,vehCoolantTemp,vehOutsideTemp,vehInsideTemp,vehAC,vehACFanSpeed,vehSideLight,vehDipLight,vehMainLight,vehRainDetected,vehNightDetected,vehHorn,vehSeatBeltDrv,vehBrkFludLvlLow,vehABSF,frontLeftTyrePressure,frontRrightTyrePressure,rearLeftTyrePressure,rearRightTyrePressure,wheelTyreMonitorStatus,gnssLat,gnssLong,gnssAlt,gnssHead,gnssSats,_failure_type,_failure_intensity,vehBMSBscSta,vehBMSPackVol,vehBMSPackCrnt,vehBMSPackSOC,vehBMSPackSOCV,vehBMSCellMaxVol,vehBMSCellMinVol,vehBMSCellMaxTem,vehBMSCellMinTem,vehHVDCDCTem,vehBMSCMUFlt,vehBMSCellVoltFlt,vehBMSPackTemFlt,vehBMSHVILClsd,chargingGunIsConnected,vehIsCharging,dcOrAC,usedBatterySinceLastCharge,mileageSinceLastCharge,vehElecRange,vehTMInvtrTem,vehTMSttrTem,vehEPTRdy,vehRPM,FuelTankLevel,vehFuelConsumed,vehOilPressureWarning,vehMILWarning
MZ7XZSN00100000,2024-12-30 14:32:39+00:00,2024-12-30,2.5,3,3,-12.4,0.9,10.8,4.087,0.029,0.018,14.08,93703.73,38.4,23.0,27.8,0,0,1,1,1,0,1,0,1,0,0,81.1,81.3,81.3,81.3,1,18.106721,74.339424,10.2,206.4,14,,0.0,3.0,358.2,0.7,28.0,0.0,3.5598,3.5397,26.4,22.5,40.1,0.0,0.0,0.0,1.0,0.0,0.0,,11.078,0.03,78.0,34.7,39.3,1.0,,,,,
MZ7XZSN00100000,2024-10-15 03:06:20+00:00,2024-10-15,17.4,2,3,-28.2,0.4,4.8,-0.397,0.027,-0.032,14.12,79917.8,90.9,23.6,28.5,0,0,1,0,0,0,0,0,1,0,0,81.3,81.5,81.3,81.4,1,18.108482,74.337203,12.0,52.6,13,,0.0,3.0,341.2,5.11,0.0,0.0,3.3142,3.2921,27.7,23.5,42.0,0.0,0.0,0.0,1.0,0.0,0.0,,3064.292,8.66,0.0,34.8,40.2,1.0,,,,,
MZ7XZSN00100000,2024-11-21 06:40:25+00:00,2024-11-21,7.1,2,3,-15.3,22.7,2.0,-5.117,-0.007,-0.064,14.08,86520.72,90.8,21.5,26.6,0,0,1,0,0,0,0,0,1,0,0,81.1,81.1,81.1,81.0,1,18.114318,74.359402,10.0,51.5,13,,0.0,3.0,341.8,2.07,0.0,0.0,3.3052,3.282,26.7,23.1,39.1,0.0,0.0,0.0,1.0,0.0,0.0,,1483.127,4.96,0.0,36.2,42.2,1.0,,,,,
MZ7XZSN00100000,2024-08-25 06:46:23+00:00,2024-08-25,0.0,2,0,-19.3,0.0,0.0,0.0,-0.002,-0.091,14.15,71161.69,91.5,28.7,28.3,1,1,1,0,0,0,0,0,1,0,0,81.7,81.8,81.7,81.6,1,18.133512,74.332405,5.3,44.5,9,,0.0,3.0,339.3,4.42,0.0,0.0,3.3134,3.2863,27.6,24.0,39.6,0.0,0.0,0.0,1.0,0.0,0.0,,10180.108,4.71,0.0,35.7,41.2,1.0,,,,,
MZ7XZSN00100000,2024-04-09 16:48:15+00:00,2024-04-09,1.2,1,3,-1.8,0.6,8.6,3.488,-0.01,0.042,14.18,47912.9,38.4,31.7,31.2,1,2,1,1,0,0,1,0,1,0,0,82.2,82.0,82.0,82.1,1,18.115058,74.340003,9.9,13.8,8,,0.0,3.0,341.3,4.74,0.0,0.0,3.3108,3.2929,27.1,23.0,38.2,0.0,0.0,0.0,1.0,0.0,0.0,,93.526,0.01,0.0,35.5,39.0,1.0,,,,,
MZ7XZSN00100000,2024-03-19 01:53:42+00:00,2024-03-19,0.1,2,0,7.8,1.3,1.7,-0.173,0.005,0.018,14.04,43927.48,91.3,29.8,28.5,1,1,1,1,0,0,1,0,1,0,0,81.8,81.9,81.9,81.9,1,18.098938,74.284789,4.8,82.1,9,,0.0,3.0,339.6,4.44,0.0,0.0,3.3068,3.2873,27.2,23.3,39.0,0.0,0.0,0.0,1.0,0.0,0.0,,9706.601,17.99,0.0,35.0,39.8,1.0,,,,,
MZ7XZSN00100000,2024-11-15 17:17:23+00:00,2024-11-15,36.6,2,3,-21.5,0.0,11.6,0.45,0.046,0.019,14.1,85627.96,91.1,22.1,27.3,0,0,1,1,0,0,1,0,1,0,0,81.5,81.3,81.6,81.5,1,18.099928,74.33573,10.2,64.8,10,,0.0,3.0,339.0,10.79,0.0,0.0,3.308,3.2949,27.2,23.4,39.6,0.0,0.0,0.0,1.0,0.0,0.0,,3429.243,9.51,0.0,37.6,41.1,1.0,,,,,
MZ7XZSN00100000,2024-09-19 15:04:55+00:00,2024-09-19,22.7,2,3,-7.1,0.4,8.7,1.179,0.008,0.012,14.15,75675.24,77.8,26.0,31.5,0,0,1,1,0,0,1,0,1,0,0,81.6,81.7,81.7,81.6,1,18.12433,74.333602,8.1,125.2,13,,0.0,3.0,340.5,6.68,0.0,0.0,3.3133,3.2855,27.4,22.7,39.7,0.0,0.0,0.0,1.0,0.0,0.0,,455.293,1.26,0.0,35.1,40.5,1.0,,,,,
MZ7XZSN00100000,2024-06-29 06:23:33+00:00,2024-06-29,0.5,2,0,20.7,0.0,0.0,-0.401,-0.002,0.028,14.15,61950.03,91.0,33.1,32.2,1,3,1,0,0,0,0,0,1,0,0,82.1,82.3,82.1,82.2,1,18.142753,74.338714,11.5,70.3,8,,0.0,3.0,340.1,4.55,0.0,0.0,3.3131,3.2887,26.1,22.3,39.1,0.0,0.0,0.0,1.0,0.0,0.0,,12602.576,16.06,0.0,33.9,40.7,1.0,,,,,
MZ7XZSN00100000,2024-05-28 05:39:13+00:00,2024-05-28,6.1,2,3,0.6,10.5,8.6,-1.966,-0.004,0.139,14.24,56337.51,91.1,34.2,34.6,1,3,1,0,0,0,0,0,1,0,0,82.4,82.3,82.4,82.2,1,18.131297,74.381686,2.8,256.4,10,,0.0,3.0,340.3,6.21,0.0,0.0,3.3124,3.2881,26.8,22.6,39.5,0.0,0.0,0.0,1.0,0.0,0.0,,10286.73,15.45,0.0,35.0,41.7,1.0,,,,,
MZ7XZSN00100000,2024-01-29 07:37:18+00:00,2024-01-29,0.0,2,0,3.8,0.1,0.0,0.0,-0.012,0.073,14.15,35293.35,90.5,25.2,29.6,0,0,1,1,0,3,0,0,1,0,0,81.2,81.3,81.4,81.3,1,18.086822,74.410845,2.4,105.8,11,,0.0,3.0,341.4,0.0,0.0,0.0,3.3118,3.2933,27.1,23.3,40.2,0.0,0.0,0.0,1.0,0.0,0.0,,1709.895,5.55,0.0,35.3,40.3,1.0,,,,,
MZ7XZSN00100000,2024-06-20 05:20:24+00:00,2024-06-20,0.0,2,0,-17.4,0.0,0.0,0.0,-0.002,-0.027,14.1,60490.22,91.4,33.7,33.0,1,3,1,0,0,0,0,0,1,0,0,82.2,82.2,82.3,82.2,1,18.089343,74.344545,10.9,79.6,8,,0.0,3.0,339.0,4.42,0.0,0.0,3.3118,3.2922,26.3,22.2,40.6,0.0,0.0,0.0,1.0,0.0,0.0,,6963.946,9.57,0.0,35.8,39.4,1.0,,,,,
MZ7XZSN00100000,2024-02-10 07:40:26+00:00,2024-02-10,11.3,2,3,0.5,21.1,6.0,-4.786,0.002,0.011,14.07,37307.91,88.5,26.0,25.6,1,1,1,1,0,2,0,0,1,0,0,81.4,81.6,81.6,81.4,1,18.130626,74.320585,10.0,76.8,9,,0.0,3.0,340.3,7.73,0.0,0.0,3.3128,3.2844,27.8,24.0,39.7,0.0,0.0,0.0,1.0,0.0,0.0,,2482.004,4.11,0.0,35.5,41.5,1.0,,,,,
MZ7XZSN00100000,2024-03-25 07:17:29+00:00,2024-03-25,0.6,2,3,-19.4,0.4,0.9,0.362,0.017,0.007,14.12,45004.97,90.8,30.5,28.4,1,2,1,0,0,0,0,0,1,0,0,81.8,81.8,82.0,82.0,1,18.086455,74.310943,8.7,242.9,11,,0.0,3.0,339.7,4.59,0.0,0.0,3.306,3.2962,27.1,22.7,39.4,0.0,0.0,0.0,1.0,0.0,0.0,,8223.904,11.37,0.0,36.3,42.2,1.0,,,,,
MZ7XZSN00100000,2024-10-23 03:29:44+00:00,2024-10-23,27.2,2,3,8.8,0.0,16.0,1.615,0.034,-0.079,14.02,81326.61,90.3,23.5,28.0,0,0,1,0,0,0,0,0,1,0,0,81.3,81.6,81.6,81.4,1,18.124318,74.335175,11.4,160.9,12,,0.0,3.0,340.8,8.0,0.0,0.0,3.3135,3.2904,27.7,23.7,41.1,0.0,0.0,0.0,1.0,0.0,0.0,,3873.97,10.75,0.0,37.1,40.4,1.0,,,,,
MZ7XZSN00100000,2024-05-18 09:21:56+00:00,2024-05-18,1.7,2,3,-41.9,8.2,4.2,-1.852,-0.011,0.051,14.1,54629.42,91.0,34.1,33.8,1,3,1,0,0,0,0,0,1,0,0,82.2,82.3,82.2,82.2,1,18.077679,74.333209,6.5,31.3,12,,0.0,3.0,339.4,4.91,0.0,0.0,3.3039,3.2904,27.1,23.0,41.5,0.0,0.0,0.0,1.0,0.0,0.0,,14041.734,16.18,0.0,36.5,40.4,1.0,,,,,
MZ7XZSN00100000,2024-11-15 11:03:25+00:00,2024-11-15,0.0,2,0,-66.6,0.0,2.3,-0.003,-0.002,0.004,14.15,85562.49,90.9,22.3,27.1,0,0,1,0,0,0,0,0,1,0,0,81.2,81.1,81.1,81.1,1,18.097404,74.395605,9.0,120.3,8,,0.0,3.0,339.4,0.0,0.0,0.0,3.3103,3.2889,27.1,23.0,38.6,0.0,0.0,0.0,1.0,0.0,0.0,,8176.077,24.95,0.0,34.7,40.5,1.0,,,,,
MZ7XZSN00100000,2024-09-25 17:27:39+00:00,2024-09-25,8.5,2,3,29.8,3.5,9.0,-1.239,0.009,-0.034,14.06,76768.72,90.9,25.3,29.5,0,0,1,1,0,0,1,0,1,0,0,81.5,81.6,81.5,81.5,1,18.11045,74.306832,10.7,268.6,14,,0.0,3.0,340.4,2.5,0.0,0.0,3.3118,3.2895,26.8,22.9,40.0,0.0,0.0,0.0,1.0,0.0,0.0,,4429.704,12.47,0.0,37.0,39.2,1.0,,,,,
MZ7XZSN00100000,2024-09-27 11:54:04+00:00,2024-09-27,31.2,2,3,-59.3,23.5,10.0,-5.215,0.03,0.023,14.1,77063.25,90.9,25.5,31.0,0,0,1,0,0,0,0,0,1,0,0,81.7,81.7,81.7,81.7,1,18.095274,74.363604,10.5,289.0,11,,0.0,3.0,338.5,9.27,0.0,0.0,3.3139,3.2902,27.8,24.1,40.3,0.0,0.0,0.0,1.0,0.0,0.0,,13377.916,38.89,0.0,35.4,40.7,1.0,,,,,
MZ7XZSN00100000,2024-12-23 05:54:29+00:00,2024-12-23,24.1,2,3,8.1,0.0,6.7,-0.744,0.027,-0.031,14.07,92420.17,82.2,22.0,27.0,0,0,1,0,0,0,0,0,1,0,0,81.3,81.4,81.4,81.4,1,18.125334,74.299697,8.4,294.5,12,,0.0,3.0,340.5,7.07,0.0,0.0,3.3099,3.2898,26.2,22.5,41.3,0.0,0.0,0.0,1.0,0.0,0.0,,825.657,2.29,0.0,33.5,40.3,1.0,,,,,
MZ7XZSN00100000,2024-09-09 12:22:44+00:00,2024-09-09,0.0,2,0,78.7,0.0,0.0,0.0,-0.019,-0.04,14.05,73904.58,91.1,27.4,26.6,1,1,1,0,0,0,0,0,1,0,0,81.6,81.4,81.6,81.7,1,18.114159,74.377889,7.1,4.3,10,,0.0,3.0,339.4,4.42,0.0,0.0,3.3084,3.2926,27.7,23.8,40.8,0.0,0.0,0.0,1.0,0.0,0.0,,13299.924,12.1,0.0,34.8,40.6,1.0,,,,,
MZ7XZSN00100000,2024-10-04 04:28:42+00:00,2024-10-04,0.4,2,0,5.5,0.0,0.0,-0.376,0.0,0.014,14.15,78170.38,90.7,25.1,29.6,0,0,1,0,0,0,0,0,1,0,0,81.3,81.3,81.4,81.3,1,18.13668,74.335301,12.0,248.5,11,,0.0,3.0,340.8,0.12,0.0,0.0,3.3115,3.2855,27.1,23.6,38.9,0.0,0.0,0.0,1.0,0.0,0.0,,2520.535,8.02,0.0,36.1,39.2,1.0,,,,,
MZ7XZSN00100000,2024-02-16 05:27:55+00:00,2024-02-16,19.9,2,3,-16.8,0.0,6.8,0.934,0.019,-0.007,14.1,38458.02,90.9,26.9,26.0,1,1,1,0,0,0,0,0,1,0,0,81.8,81.7,81.6,81.8,1,18.123422,74.363023,8.9,290.8,12,,0.0,3.0,339.7,10.29,0.0,0.0,3.3113,3.2927,27.4,23.3,39.7,0.0,0.0,0.0,1.0,0.0,0.0,,3272.287,4.91,0.0,37.2,40.3,1.0,,,,,
MZ7XZSN00100000,2024-12-05 14:27:32+00:00,2024-12-05,20.1,2,3,25.1,4.6,1.6,-1.174,0.005,0.05,14.04,89033.07,92.2,21.8,26.8,0,0,1,1,0,0,1,0,1,0,0,81.3,81.4,81.3,81.1,1,18.108786,74.279265,3.8,296.1,14,,0.0,3.0,340.0,5.91,0.0,0.0,3.3066,3.2947,28.0,23.2,37.9,0.0,0.0,0.0,1.0,0.0,0.0,,9081.599,26.94,0.0,36.5,41.1,1.0,,,,,
MZ7XZSN00100000,2024-05-12 15:51:39+00:00,2024-05-12,5.0,2,3,1.6,15.6,0.0,-3.301,-0.002,-0.012,14.01,53726.42,90.6,33.9,32.7,1,3,1,1,0,0,1,0,1,0,0,82.2,82.4,82.1,82.2,1,18.095017,74.363701,10.3,51.2,14,,0.0,3.0,340.5,5.87,0.0,0.0,3.3159,3.2902,27.4,24.1,38.9,0.0,0.0,0.0,1.0,0.0,0.0,,9087.298,16.47,0.0,34.3,40.9,1.0,,,,,
MZ7XZSN00100000,2024-02-23 08:53:53+00:00,2024-02-23,22.7,2,3,-13.3,0.0,6.7,-0.153,0.021,0.034,14.2,39730.55,80.0,27.8,26.9,1,1,1,0,0,0,0,0,1,0,0,81.7,81.7,81.9,81.9,1,18.110149,74.325547,9.7,145.2,8,,0.0,3.0,341.1,11.05,0.0,0.0,3.3137,3.2901,27.9,23.4,40.5,0.0,0.0,0.0,1.0,0.0,0.0,,1264.0,1.63,0.0,35.0,42.5,1.0,,,,,
MZ7XZSN00100000,2024-09-28 07:00:36+00:00,2024-09-28,17.8,2,3,-14.5,20.7,6.9,-4.861,0.011,0.008,14.15,77117.11,82.0,24.7,29.9,0,0,1,0,0,0,0,0,1,0,0,81.5,81.5,81.4,81.5,1,18.137525,74.319909,9.9,5.8,12,,0.0,3.0,340.3,5.25,0.0,0.0,3.3131,3.2873,26.7,22.6,40.7,0.0,0.0,0.0,1.0,0.0,0.0,,578.582,1.9,0.0,36.2,39.0,1.0,,,,,
MZ7XZSN00100000,2024-03-03 03:23:18+00:00,2024-03-03,1.2,2,3,-3.6,0.0,0.4,0.304,0.004,-0.009,14.19,41387.57,91.2,28.4,26.7,1,1,1,0,0,0,0,0,1,0,0,81.7,81.7,81.7,81.7,1,18.092923,74.311513,11.3,72.7,14,,0.0,3.0,338.3,4.78,0.0,0.0,3.3095,3.2911,27.3,23.8,40.9,0.0,0.0,0.0,1.0,0.0,0.0,,2913.69,1.92,0.0,36.5,40.2,1.0,,,,,
MZ7XZSN00100000,2024-03-30 10:05:22+00:00,2024-03-30,13.6,2,3,22.4,0.0,10.3,1.134,0.013,0.014,14.1,45894.78,90.0,30.6,30.3,1,2,1,0,0,0,0,0,1,0,0,82.1,82.0,82.2,82.0,1,18.077823,74.346468,12.7,219.7,10,,0.0,3.0,338.6,8.46,0.0,0.0,3.3094,3.2893,27.2,22.9,41.1,0.0,0.0,0.0,1.0,0.0,0.0,,4799.769,7.53,0.0,36.8,41.1,1.0,,,,,
MZ7XZSN00100000,2024-08-27 03:14:34+00:00,2024-08-27,16.2,2,3,13.7,3.8,4.4,-1.451,0.007,-0.025,14.12,71539.57,92.2,28.4,26.7,1,1,1,0,0,0,0,0,1,0,0,81.8,81.8,81.7,81.9,1,18.112599,74.397778,9.0,136.5,12,,0.0,3.0,339.3,9.2,0.0,0.0,3.3089,3.2892,26.8,23.0,40.5,0.0,0.0,0.0,1.0,0.0,0.0,,9260.179,15.44,0.0,37.0,38.6,1.0,,,,,
MZ7XZSN00100000,2024-03-05 15:53:02+00:00,2024-03-05,28.3,2,3,-26.9,1.1,18.3,2.983,0.029,-0.139,14.02,41726.43,91.4,28.7,27.8,1,1,1,1,0,0,1,0,1,0,0,82.1,82.0,81.9,81.9,1,18.125949,74.280648,6.7,181.3,9,,0.0,3.0,339.7,12.76,0.0,0.0,3.3134,3.2909,27.9,24.4,40.5,0.0,0.0,0.0,1.0,0.0,0.0,,14518.139,19.54,0.0,35.1,40.5,1.0,,,,,
MZ7XZSN00100000,2024-10-21 07:59:26+00:00,2024-10-21,11.9,2,3,9.2,0.0,3.9,-0.499,0.022,-0.005,14.03,80920.15,92.1,23.4,28.0,0,0,1,0,0,0,0,0,1,0,0,81.2,81.2,81.4,81.4,1,18.126572,74.316147,11.9,246.5,12,,0.0,3.0,339.8,3.5,0.0,0.0,3.3075,3.292,27.3,24.2,41.2,0.0,0.0,0.0,1.0,0.0,0.0,,2143.604,6.88,0.0,33.1,39.9,1.0,,,,,
MZ7XZSN00100000,2024-08-10 05:13:54+00:00,2024-08-10,10.0,2,3,7.5,0.0,2.2,-0.077,-0.007,0.121,14.07,68577.31,90.3,29.7,28.8,1,1,1,0,0,0,0,0,1,0,0,81.9,81.9,81.9,82.0,1,18.116078,74.322821,10.4,288.6,10,,0.0,3.0,339.3,7.37,0.0,0.0,3.3112,3.292,27.5,23.4,38.6,0.0,0.0,0.0,1.0,0.0,0.0,,5670.488,9.35,0.0,34.4,40.7,1.0,,,,,
MZ7XZSN00100000,2024-10-21 08:24:56+00:00,2024-10-21,10.3,2,3,-15.0,0.0,8.2,1.285,-0.005,-0.021,14.08,80922.48,90.7,23.1,27.9,0,0,1,0,0,0,0,0,1,0,0,81.3,81.3,81.3,81.2,1,18.13345,74.322953,11.2,134.1,8,,0.0,3.0,339.7,3.02,0.0,0.0,3.3099,3.2876,27.5,23.6,39.4,0.0,0.0,0.0,1.0,0.0,0.0,,2922.648,9.21,0.0,37.4,40.4,1.0,,,,,
MZ7XZSN00100000,2024-02-05 05:21:47+00:00,2024-02-05,6.1,2,3,-8.6,0.8,20.3,5.926,0.003,-0.001,13.98,36364.33,51.7,25.6,31.1,0,0,1,0,0,0,0,0,1,0,0,81.4,81.4,81.5,81.5,1,18.113346,74.326854,11.5,49.2,13,,0.0,3.0,339.7,1.79,0.0,0.0,3.3092,3.2916,27.0,23.4,40.4,0.0,0.0,0.0,1.0,0.0,0.0,,41.78,0.12,0.0,35.2,39.9,1.0,,,,,
MZ7XZSN00100000,2024-06-17 11:18:08+00:00,2024-06-17,0.0,2,0,-19.9,0.0,4.9,0.0,-0.012,-0.02,14.11,60071.01,91.2,33.7,32.5,1,3,1,0,0,0,0,0,1,0,0,82.3,82.1,82.2,82.3,1,18.131879,74.339149,3.9,279.2,13,,0.0,3.0,339.2,4.42,0.0,0.0,3.3109,3.2917,27.5,23.0,39.5,0.0,0.0,0.0,1.0,0.0,0.0,,7608.714,9.82,0.0,36.4,40.2,1.0,,,,,
MZ7XZSN00100000,2024-10-20 06:47:24+00:00,2024-10-20,0.0,1,0,51.0,0.9,0.0,0.0,0.011,0.115,14.14,80774.0,90.9,23.4,28.0,0,0,1,0,0,0,0,0,1,0,0,81.2,81.3,81.3,81.1,1,18.110332,74.371384,5.3,86.7,10,,0.0,3.0,341.5,0.0,0.0,0.0,3.3081,3.2884,26.4,22.9,39.1,0.0,0.0,0.0,1.0,0.0,0.0,,1300.827,4.56,0.0,34.3,39.9,1.0,,,,,
MZ7XZSN00100000,2024-02-23 13:19:49+00:00,2024-02-23,7.1,2,3,-0.9,0.0,4.3,-0.27,-0.01,0.034,14.1,39801.31,90.2,27.5,26.9,1,1,1,1,0,3,0,0,1,0,0,81.7,81.6,81.7,81.6,1,18.126231,74.32805,7.9,78.9,14,,0.0,3.0,340.2,6.49,0.0,0.0,3.3121,3.2946,26.3,22.3,40.9,0.0,0.0,0.0,1.0,0.0,0.0,,3648.206,5.08,0.0,36.1,40.7,1.0,,,,,
MZ7XZSN00100000,2024-03-21 14:00:25+00:00,2024-03-21,20.5,2,3,32.8,0.0,7.4,0.982,0.012,-0.061,14.07,44340.87,90.9,30.1,29.4,1,2,1,0,0,0,0,0,1,0,0,82.0,82.2,82.1,82.0,1,18.150507,74.331082,14.1,109.7,12,,0.0,3.0,343.1,10.34,0.0,0.0,3.3159,3.2862,27.6,23.3,39.4,0.0,0.0,0.0,1.0,0.0,0.0,,16909.758,24.76,0.0,34.9,40.8,1.0,,,,,
MZ7XZSN00100000,2024-09-09 17:01:28+00:00,2024-09-09,12.9,2,3,26.9,5.0,5.6,-1.345,0.007,0.04,14.06,74032.25,90.8,26.8,25.5,1,1,1,1,0,0,1,0,1,0,0,81.8,81.8,81.6,81.6,1,18.106067,74.371481,11.2,11.9,14,,0.0,3.0,338.4,8.24,0.0,0.0,3.3113,3.2963,26.8,22.1,41.0,0.0,0.0,0.0,1.0,0.0,0.0,,4102.896,6.01,0.0,34.9,42.2,1.0,,,,,
